timestamp_ms,raw_x,accX,raw_y,accY,raw_z,accZ,label
75.962,-0.6719,-0.6613,0.4612,0.4539,0.6394,0.6294,imbalanced
80.961,-1.3845,-1.3524,-0.1487,-0.1535,-0.1155,-0.1235,imbalanced
85.961,-1.1489,-1.0993,-0.0046,-0.0093,-0.5928,-0.5914,imbalanced
90.961,-1.1177,-1.0513,0.0667,0.0610,-0.2822,-0.2765,imbalanced
95.961,-0.6663,-0.5904,0.3337,0.3230,0.2876,0.2888,imbalanced
100.961,-0.6948,-0.6093,0.4551,0.4373,1.2241,1.2061,imbalanced
105.961,-0.9949,-0.8950,0.1953,0.1748,-0.3523,-0.3645,imbalanced
110.961,-1.3303,-1.2112,-0.0750,-0.0940,-1.7551,-1.7396,imbalanced
115.961,-1.1633,-1.0278,-0.0901,-0.1074,-0.0217,-0.0061,imbalanced
120.961,-1.1619,-1.0102,0.0391,0.0214,0.5012,0.5087,imbalanced
125.961,-0.5913,-0.4327,0.5068,0.4815,0.7542,0.7497,imbalanced
130.961,-0.7930,-0.6244,0.3958,0.3646,0.8972,0.8787,imbalanced
140.961,-1.1138,-0.9304,-0.1033,-0.1323,-0.5735,-0.5827,imbalanced
145.961,-0.9795,-0.7836,0.1096,0.0793,-0.4641,-0.4659,imbalanced
150.961,-0.6208,-0.4183,0.4607,0.4236,1.0576,1.0393,imbalanced
155.961,-0.7485,-0.5374,0.4065,0.3636,0.5037,0.4777,imbalanced
160.961,-1.3762,-1.1468,-0.0708,-0.1119,-0.3682,-0.3879,imbalanced
165.961,-1.1399,-0.8962,0.0203,-0.0205,-0.3081,-0.3227,imbalanced
170.961,-0.8779,-0.6243,0.1206,0.0786,-0.5129,-0.5193,imbalanced
180.961,-0.6809,-0.4206,0.4578,0.4092,0.6821,0.6652,imbalanced
185.961,-0.8733,-0.6033,0.2144,0.1632,0.0632,0.0455,imbalanced
190.961,-1.3611,-1.0740,-0.0815,-0.1306,-2.0000,-1.9860,imbalanced
195.961,-1.1011,-0.8012,-0.1338,-0.1800,-0.1997,-0.1828,imbalanced
200.961,-0.9644,-0.6540,0.0999,0.0528,0.1799,0.1938,imbalanced
205.961,-0.5869,-0.2722,0.5154,0.4610,1.1807,1.1757,imbalanced
210.961,-0.8179,-0.4953,0.2412,0.1839,0.3657,0.3551,imbalanced
215.961,-1.5188,-1.1775,-0.4131,-0.4630,-1.5808,-1.5664,imbalanced
225.961,-1.1604,-0.8062,0.0281,-0.0215,0.4285,0.4359,imbalanced
230.961,-0.8447,-0.4828,0.3542,0.2999,0.6028,0.6006,imbalanced
235.961,-0.6699,-0.3032,0.3960,0.3363,1.0156,0.9976,imbalanced
