timestamp_ms,raw_x,accX,raw_y,accY,raw_z,accZ,label
75.956,-0.9897,-0.9742,0.1184,0.1165,0.0317,0.0312,obstruction
80.955,-1.0142,-0.9829,0.1306,0.1267,0.0386,0.0375,obstruction
85.955,-0.9944,-0.9480,0.1191,0.1135,-0.0652,-0.0652,obstruction
90.955,-0.9919,-0.9308,0.1299,0.1222,-0.1882,-0.1853,obstruction
95.955,-0.9651,-0.8897,0.1858,0.1754,-0.1633,-0.1579,obstruction
100.955,-0.9248,-0.8361,0.1533,0.1406,-0.2881,-0.2782,obstruction
105.955,-0.9644,-0.8619,0.1045,0.0904,-0.1729,-0.1604,obstruction
110.955,-0.9990,-0.8825,0.1082,0.0926,0.0129,0.0250,obstruction
115.955,-1.0022,-0.8718,0.1306,0.1132,0.0950,0.1053,obstruction
120.955,-1.0298,-0.8852,0.0857,0.0672,-0.1702,-0.1573,obstruction
125.955,-0.9805,-0.8228,0.1565,0.1359,-0.0942,-0.0801,obstruction
135.955,-0.9995,-0.8286,0.1697,0.1467,-0.1179,-0.1022,obstruction
140.955,-0.9963,-0.8125,0.1423,0.1175,0.1104,0.1241,obstruction
145.955,-1.0303,-0.8331,0.1301,0.1036,0.0857,0.0979,obstruction
150.955,-1.0037,-0.7939,0.0850,0.0575,-0.0637,-0.0507,obstruction
155.955,-0.9900,-0.7679,0.1768,0.1470,-0.1274,-0.1126,obstruction
160.955,-0.8992,-0.6665,0.1953,0.1629,-0.2876,-0.2685,obstruction
165.955,-0.9697,-0.7255,0.0937,0.0604,-0.1804,-0.1588,obstruction
175.955,-0.9951,-0.7391,0.0718,0.0378,-0.0042,0.0172,obstruction
180.955,-1.0459,-0.7774,0.1272,0.0918,-0.0552,-0.0333,obstruction
185.955,-0.9521,-0.6730,0.2134,0.1752,-0.0950,-0.0719,obstruction
190.955,-0.9055,-0.6165,0.1123,0.0729,-0.1938,-0.1681,obstruction
195.955,-0.9990,-0.6989,0.1191,0.0785,-0.0142,0.0114,obstruction
200.955,-0.9956,-0.6845,0.1287,0.0867,-0.0452,-0.0193,obstruction
205.955,-1.0562,-0.7334,0.1035,0.0606,-0.2024,-0.1738,obstruction
215.955,-0.9849,-0.6517,0.1812,0.1360,-0.1570,-0.1263,obstruction
