timestamp_ms,Raw_X,HPF_X,accX,Raw_Y,HPF_Y,accY,Raw_Z,HPF_Z,accZ,Label,label
92.064,-0.0215,-0.0219,0.0091,0.9397,0.9277,0.7571,0.2539,0.2531,0.115,imbalanced,imbalanced
94.065,0.0305,0.0299,0.021,0.9229,0.9051,0.8416,0.321,0.3181,0.231,imbalanced,imbalanced
96.064,0.0061,0.0054,0.0121,0.9131,0.8896,0.869,0.2949,0.2901,0.2648,imbalanced,imbalanced
98.065,0.0125,0.0117,0.0119,0.9219,0.8926,0.8825,0.3625,0.3555,0.3166,imbalanced,imbalanced
100.065,0.0383,0.0374,0.0264,0.9297,0.8947,0.8894,0.262,0.2533,0.2804,imbalanced,imbalanced
102.064,0.0117,0.0107,0.0174,0.9343,0.8935,0.8918,0.1948,0.1849,0.2259,imbalanced,imbalanced
104.064,0.0698,0.0683,0.0465,0.9568,0.9101,0.9023,0.2187,0.2075,0.2154,imbalanced,imbalanced
106.065,-0.0039,-0.0054,0.0169,0.9512,0.8987,0.9003,0.1863,0.1739,0.1917,imbalanced,imbalanced
108.065,0.0042,0.0027,0.0088,1.03,0.9713,0.9408,0.1309,0.1178,0.1495,imbalanced,imbalanced
110.065,-0.0017,-0.0032,0.002,1.0483,0.9833,0.9651,-0.0398,-0.0526,0.0341,imbalanced,imbalanced
112.064,-0.0059,-0.0073,-0.0033,1.0432,0.9719,0.969,-0.2024,-0.2138,-0.1074,imbalanced,imbalanced
114.064,0.0081,0.0066,0.0024,1.0752,0.9975,0.9853,-0.1172,-0.1278,-0.119,imbalanced,imbalanced
116.065,-0.0063,-0.0077,-0.0034,1.0645,0.9804,0.9825,-0.3335,-0.3419,-0.2463,imbalanced,imbalanced
118.065,-0.0288,-0.03,-0.0186,1.1143,1.0236,1.006,-0.1948,-0.2019,-0.2209,imbalanced,imbalanced
120.065,-0.0388,-0.0398,-0.0307,1.0823,0.9853,0.9942,-0.2461,-0.2515,-0.2384,imbalanced,imbalanced
122.064,-0.0693,-0.0698,-0.053,0.9958,0.8931,0.9365,0.2603,0.2532,0.0423,imbalanced,imbalanced
124.064,0.0759,0.075,0.0201,0.9836,0.8753,0.9015,-0.8425,-0.8442,-0.4639,imbalanced,imbalanced
126.065,-0.0613,-0.0619,-0.0267,1.1858,1.0705,0.998,-0.0876,-0.0887,-0.2497,imbalanced,imbalanced
128.065,-0.0325,-0.0328,-0.0302,1.1113,0.9897,0.9933,-0.6775,-0.6742,-0.4921,imbalanced,imbalanced
130.064,-0.0698,-0.0697,-0.0528,1.0559,0.9283,0.9562,0.1025,0.1051,-0.1511,imbalanced,imbalanced
132.065,0.032,0.0319,-0.0044,0.925,0.7923,0.8626,0.1699,0.1714,0.0331,imbalanced,imbalanced
134.064,-0.0161,-0.0161,-0.0111,0.9304,0.7926,0.8226,0.3149,0.3144,0.1937,imbalanced,imbalanced
136.065,0.0408,0.0405,0.0184,0.918,0.7752,0.7955,0.282,0.2797,0.2428,imbalanced,imbalanced
138.064,-0.0225,-0.0226,-0.005,0.9146,0.7668,0.7791,0.3455,0.3409,0.2988,imbalanced,imbalanced
140.065,0.0488,0.0484,0.0255,0.9355,0.7828,0.7812,0.2766,0.2703,0.2826,imbalanced,imbalanced
142.064,0.0098,0.0093,0.0162,0.9248,0.7671,0.7731,0.1978,0.1903,0.2299,imbalanced,imbalanced
144.064,0.063,0.0621,0.0424,0.9448,0.7821,0.7782,0.2842,0.2749,0.2556,imbalanced,imbalanced
146.065,0.0386,0.0374,0.0396,0.9504,0.7826,0.7807,0.1208,0.1109,0.173,imbalanced,imbalanced
148.065,-0.0664,-0.0671,-0.0213,1.0085,0.8354,0.8119,0.2549,0.2433,0.2131,imbalanced,imbalanced
150.065,0.1028,0.1014,0.0488,1.0112,0.8327,0.8238,-0.113,-0.1238,0.0208,imbalanced,imbalanced
152.064,-0.0688,-0.0698,-0.0189,1.0313,0.8472,0.8372,-0.0381,-0.0485,-0.0188,imbalanced,imbalanced
154.064,0.0349,0.0338,0.0112,1.064,0.8743,0.8584,-0.1543,-0.1637,-0.1015,imbalanced,imbalanced
156.065,-0.0259,-0.0268,-0.0105,1.0537,0.8585,0.8585,-0.2917,-0.2992,-0.2144,imbalanced,imbalanced
158.064,-0.0134,-0.0143,-0.0127,1.0974,0.8965,0.8802,-0.1655,-0.1719,-0.1901,imbalanced,imbalanced
160.065,-0.021,-0.0217,-0.0178,1.0811,0.8745,0.8769,-0.3613,-0.3653,-0.2902,imbalanced,imbalanced
162.064,-0.1082,-0.1082,-0.0694,1.0613,0.8492,0.8611,0.2151,0.2097,-0.0047,imbalanced,imbalanced
164.065,0.0667,0.0662,0.008,0.9182,0.7016,0.7701,-0.7683,-0.7687,-0.441,imbalanced,imbalanced
166.065,-0.0144,-0.0148,-0.005,1.0906,0.8684,0.8262,-0.1223,-0.1219,-0.2588,imbalanced,imbalanced
168.064,-0.0144,-0.0147,-0.0105,1.1602,0.932,0.8866,-0.4839,-0.4804,-0.3853,imbalanced,imbalanced
170.064,-0.1145,-0.114,-0.0696,1.0901,0.8564,0.8694,-0.0728,-0.0688,-0.2046,imbalanced,imbalanced
172.064,0.043,0.0432,-0.0052,0.9788,0.7403,0.7957,-0.1162,-0.1116,-0.1515,imbalanced,imbalanced
174.064,0.0237,0.0237,0.0113,0.9292,0.6863,0.7332,0.1812,0.1846,0.0404,imbalanced,imbalanced
176.065,-0.011,-0.0109,-0.0014,0.9448,0.6975,0.7128,0.2993,0.3008,0.1891,imbalanced,imbalanced
178.065,0.0386,0.0384,0.0214,0.9226,0.6709,0.6889,0.2878,0.2875,0.2453,imbalanced,imbalanced
180.064,-0.0198,-0.0198,-0.0021,0.9211,0.6652,0.6753,0.366,0.3633,0.3127,imbalanced,imbalanced
182.065,0.0542,0.0538,0.0298,0.9341,0.6738,0.6744,0.2761,0.2717,0.2893,imbalanced,imbalanced
184.065,0.0149,0.0144,0.021,0.9353,0.6707,0.6723,0.1924,0.1868,0.2307,imbalanced,imbalanced
186.064,0.0574,0.0566,0.0413,0.9561,0.687,0.6807,0.2871,0.2797,0.2587,imbalanced,imbalanced
188.064,0.0332,0.0322,0.0361,0.9609,0.6875,0.6846,0.114,0.1059,0.1715,imbalanced,imbalanced
190.064,-0.0601,-0.0607,-0.0192,1.0212,0.743,0.7179,0.2451,0.2355,0.208,imbalanced,imbalanced
192.065,0.0896,0.0884,0.0423,1.0244,0.7414,0.7313,-0.1003,-0.1093,0.0269,imbalanced,imbalanced
194.065,-0.0625,-0.0633,-0.018,1.0349,0.7471,0.7403,-0.0762,-0.0845,-0.0368,imbalanced,imbalanced
196.064,0.0305,0.0295,0.0091,1.063,0.7702,0.7574,-0.1245,-0.132,-0.0912,imbalanced,imbalanced
198.065,-0.0168,-0.0177,-0.0062,1.0627,0.765,0.7617,-0.3201,-0.3255,-0.225,imbalanced,imbalanced
200.065,-0.0171,-0.0178,-0.0128,1.1077,0.8047,0.7863,-0.1619,-0.1662,-0.1914,imbalanced,imbalanced
202.065,-0.0225,-0.0231,-0.0187,1.083,0.7751,0.7799,-0.3638,-0.3658,-0.291,imbalanced,imbalanced
204.065,-0.1274,-0.1272,-0.0807,1.0498,0.7371,0.7555,0.467,0.4621,0.139,imbalanced,imbalanced
206.064,0.1013,0.1009,0.023,0.9221,0.6056,0.6699,-1.0674,-1.0655,-0.5488,imbalanced,imbalanced
208.065,-0.0496,-0.0497,-0.0185,1.1401,0.8183,0.7546,-0.0378,-0.0357,-0.2558,imbalanced,imbalanced
210.064,-0.0007,-0.0008,-0.0084,1.137,0.8099,0.7862,-0.6638,-0.6575,-0.4852,imbalanced,imbalanced
212.065,-0.113,-0.1124,-0.0678,1.0713,0.7395,0.7595,0.1016,0.1072,-0.1469,imbalanced,imbalanced
214.064,0.0596,0.0598,0.0051,0.9534,0.6176,0.6785,-0.1243,-0.1178,-0.1303,imbalanced,imbalanced
216.065,0.001,0.0012,0.0029,0.927,0.5874,0.6265,0.2107,0.2157,0.0673,imbalanced,imbalanced
218.064,0.0071,0.0073,0.0054,0.9302,0.5868,0.6038,0.3257,0.3286,0.2165,imbalanced,imbalanced
220.065,0.0264,0.0264,0.0174,0.9058,0.5588,0.5781,0.2534,0.2547,0.2383,imbalanced,imbalanced
222.065,-0.0112,-0.0112,0.0011,0.9148,0.5642,0.5702,0.3979,0.3967,0.3287,imbalanced,imbalanced
224.064,0.041,0.0408,0.0238,0.9243,0.5701,0.5701,0.239,0.2362,0.2759,imbalanced,imbalanced
226.065,0.0254,0.025,0.0245,0.9363,0.5783,0.5748,0.1968,0.1927,0.2284,imbalanced,imbalanced
228.065,0.0652,0.0644,0.0473,0.9392,0.5775,0.5763,0.2656,0.2599,0.2464,imbalanced,imbalanced
