timestamp_ms,Raw_X,HPF_X,accX,Raw_Y,HPF_Y,accY,Raw_Z,HPF_Z,accZ,Label,label
92.048,-0.0225,-0.023,0.0123,0.9265,0.914,0.7745,-0.0737,-0.0737,-0.0245,healthy,obstruction
94.048,-0.0225,-0.0228,-0.0078,1.1187,1.099,0.9598,0.0171,0.017,-0.0008,healthy,obstruction
96.048,-0.0161,-0.0164,-0.0127,0.979,0.9533,0.9561,-0.0193,-0.0193,-0.0113,healthy,obstruction
98.048,0.0161,0.0157,0.0035,1.0439,1.0117,0.9878,0.1643,0.1633,0.0884,healthy,obstruction
100.048,0.0127,0.0122,0.0085,0.9155,0.8776,0.9249,-0.1245,-0.1247,-0.0333,healthy,obstruction
102.048,-0.033,-0.0332,-0.0153,1.1199,1.075,1.0106,0.0618,0.0612,0.0206,healthy,obstruction
104.048,0.0237,0.0233,0.0067,1.0076,0.9566,0.9798,-0.0562,-0.0564,-0.0234,healthy,obstruction
106.048,0.0083,0.0079,0.0074,1.0474,0.99,0.9856,0.0884,0.0876,0.04,healthy,obstruction
108.048,-0.0029,-0.0033,0.0013,0.9463,0.8832,0.9271,-0.1694,-0.1692,-0.0794,healthy,obstruction
110.048,0.0005,0.0001,0.0006,1.1006,1.0309,0.9864,-0.0674,-0.0667,-0.0722,healthy,obstruction
112.048,-0.0396,-0.0397,-0.0224,0.9983,0.9226,0.95,-0.0132,-0.0124,-0.038,healthy,obstruction
114.048,0.0298,0.0294,0.0072,1.0208,0.939,0.9437,0.0769,0.0772,0.0278,healthy,obstruction
116.048,0.0474,0.0467,0.0298,0.905,0.8181,0.872,-0.1311,-0.13,-0.0623,healthy,obstruction
118.048,-0.0264,-0.0268,-0.0026,1.0789,0.9855,0.9368,-0.0105,-0.0093,-0.0321,healthy,obstruction
120.048,-0.0122,-0.0126,-0.0083,0.9626,0.8638,0.8951,0.0562,0.057,0.0188,healthy,obstruction
122.048,0.0398,0.0391,0.0188,0.9927,0.8881,0.8911,0.0825,0.0828,0.0553,healthy,obstruction
124.048,0.0181,0.0173,0.0179,0.9011,0.7914,0.8342,-0.0981,-0.0972,-0.0318,healthy,obstruction
126.048,-0.0591,-0.0595,-0.0263,1.0442,0.9285,0.888,0.0281,0.0288,0.0028,healthy,obstruction
128.048,-0.0073,-0.0077,-0.0156,0.9673,0.8462,0.8641,0.0154,0.016,0.0103,healthy,obstruction
130.048,0.0898,0.0889,0.0441,1.0083,0.8815,0.874,0.1416,0.1413,0.0851,healthy,obstruction
132.048,-0.0325,-0.0332,-0.0,0.9133,0.7815,0.8212,-0.145,-0.1444,-0.0459,healthy,obstruction
134.048,-0.0051,-0.0058,-0.0033,1.1145,0.9764,0.9098,-0.0095,-0.0088,-0.0247,healthy,obstruction
136.048,-0.0002,-0.0009,-0.0019,0.9546,0.8112,0.8535,-0.1042,-0.1029,-0.0694,healthy,obstruction
138.048,0.0154,0.0146,0.0075,1.0696,0.9203,0.8916,0.064,0.0649,0.0073,healthy,obstruction
140.048,0.0066,0.0058,0.0066,0.9399,0.7856,0.8311,-0.1089,-0.1073,-0.0581,healthy,obstruction
142.048,-0.0208,-0.0214,-0.0094,1.0835,0.9232,0.8837,-0.0994,-0.0971,-0.0804,healthy,obstruction
144.048,0.0291,0.0282,0.0121,1.0027,0.837,0.857,0.0249,0.027,-0.0191,healthy,obstruction
146.048,0.0444,0.0433,0.0299,1.0378,0.8666,0.8625,0.1094,0.1107,0.0551,healthy,obstruction
148.048,-0.0239,-0.0249,-0.0014,0.9373,0.7611,0.8046,-0.0447,-0.043,-0.001,healthy,obstruction
150.048,-0.0242,-0.0249,-0.0148,1.0642,0.8824,0.849,-0.02,-0.0183,-0.0108,healthy,obstruction
152.048,-0.0242,-0.0248,-0.0205,0.9924,0.8054,0.8241,-0.0061,-0.0043,-0.0071,healthy,obstruction
154.048,0.0398,0.0389,0.0134,1.0732,0.8805,0.8563,0.1965,0.1971,0.1095,healthy,obstruction
156.048,0.0076,0.0067,0.0096,0.8948,0.6976,0.7657,-0.1589,-0.1574,-0.0429,healthy,obstruction
158.048,0.002,0.001,0.0047,1.1272,0.924,0.8561,0.0107,0.0122,-0.0114,healthy,obstruction
160.048,-0.0027,-0.0036,-0.0,1.02,0.8116,0.8307,-0.0315,-0.0298,-0.0219,healthy,obstruction
162.048,0.0171,0.0161,0.0092,1.0781,0.8642,0.8498,0.1199,0.1207,0.0595,healthy,obstruction
164.048,-0.0005,-0.0015,0.0031,0.9282,0.7097,0.7698,-0.1858,-0.1837,-0.0794,healthy,obstruction
166.048,-0.0337,-0.0345,-0.0183,1.1189,0.8946,0.8411,-0.1099,-0.1071,-0.0952,healthy,obstruction
168.048,0.0022,0.0014,-0.0071,1.0308,0.8013,0.8184,0.0298,0.0323,-0.0224,healthy,obstruction
170.048,0.0586,0.0574,0.0298,1.0403,0.8056,0.8111,0.0713,0.0734,0.0323,healthy,obstruction
172.048,-0.0059,-0.007,0.0088,0.896,0.6571,0.7232,-0.125,-0.1221,-0.0559,healthy,obstruction
174.048,-0.0129,-0.014,-0.0042,1.1074,0.863,0.803,-0.0256,-0.0226,-0.0369,healthy,obstruction
176.048,0.0054,0.0043,0.0007,0.9619,0.7129,0.7516,0.022,0.0248,-0.0017,healthy,obstruction
178.048,0.0391,0.0378,0.0219,1.032,0.778,0.7666,0.1379,0.1399,0.0792,healthy,obstruction
180.048,-0.0261,-0.0272,-0.0062,0.8704,0.6124,0.6786,-0.1184,-0.1157,-0.0321,healthy,obstruction
182.048,-0.0381,-0.0389,-0.0249,1.0823,0.819,0.7588,0.0354,0.0378,0.0078,healthy,obstruction
184.048,0.0579,0.0566,0.0217,0.9509,0.6833,0.7157,-0.021,-0.0184,-0.0072,healthy,obstruction
186.048,0.0264,0.025,0.0236,1.0161,0.7437,0.7317,0.124,0.1258,0.0687,healthy,obstruction
188.048,-0.0618,-0.0627,-0.0257,0.9319,0.6552,0.688,-0.0854,-0.0832,-0.018,healthy,obstruction
190.048,0.0396,0.0383,0.0109,1.0625,0.7808,0.741,-0.0715,-0.0688,-0.047,healthy,obstruction
192.048,-0.0129,-0.0141,-0.0034,0.9763,0.6902,0.712,-0.0488,-0.0458,-0.0463,healthy,obstruction
194.048,0.0242,0.0229,0.0116,1.0745,0.7833,0.7527,0.0447,0.0474,0.0072,healthy,obstruction
196.048,-0.0093,-0.0105,-0.001,0.9023,0.6073,0.6696,-0.1128,-0.1094,-0.0594,healthy,obstruction
198.048,0.0125,0.0112,0.0059,1.0762,0.7761,0.7304,-0.1194,-0.1152,-0.0913,healthy,obstruction
200.048,0.0256,0.0242,0.0164,0.9685,0.6641,0.6926,0.0122,0.0163,-0.0299,healthy,obstruction
202.048,-0.0334,-0.0347,-0.0128,1.0498,0.7407,0.72,0.1709,0.1738,0.0865,healthy,obstruction
204.048,0.0002,-0.001,-0.006,0.8647,0.552,0.6241,-0.1084,-0.1048,-0.0227,healthy,obstruction
206.048,-0.0098,-0.0109,-0.0088,1.072,0.7545,0.6985,0.0134,0.0169,-0.0001,healthy,obstruction
208.048,0.0203,0.019,0.0071,0.9856,0.6638,0.6787,0.01,0.0134,0.0076,healthy,obstruction
210.048,0.0393,0.0378,0.0246,1.0474,0.7209,0.7028,0.1821,0.1844,0.1085,healthy,obstruction
212.048,-0.032,-0.0333,-0.0084,0.8987,0.5685,0.6261,-0.1648,-0.1615,-0.0457,healthy,obstruction
214.048,0.0129,0.0116,0.003,1.1279,0.7927,0.7212,0.0122,0.0154,-0.0108,healthy,obstruction
216.048,-0.0159,-0.0171,-0.0085,0.9973,0.6578,0.685,0.0059,0.009,0.0005,healthy,obstruction
218.048,0.0129,0.0116,0.003,1.0591,0.715,0.7021,0.0825,0.0851,0.0488,healthy,obstruction
220.048,-0.0017,-0.003,-0.0004,0.9395,0.5916,0.639,-0.1611,-0.1576,-0.069,healthy,obstruction
222.048,-0.0081,-0.0093,-0.0055,1.1633,0.8102,0.7368,-0.0852,-0.0811,-0.0759,healthy,obstruction
224.048,0.0508,0.0492,0.0257,0.9924,0.6352,0.6788,0.0247,0.0286,-0.0163,healthy,obstruction
226.048,0.0222,0.0205,0.0228,1.0308,0.6692,0.6733,0.0073,0.0112,-0.0006,healthy,obstruction
228.048,-0.0381,-0.0395,-0.0128,0.9692,0.6038,0.6336,-0.074,-0.0697,-0.04,healthy,obstruction
230.048,0.0188,0.0172,0.0043,1.1226,0.7523,0.7014,-0.0103,-0.0059,-0.0206,healthy,obstruction
232.048,-0.0156,-0.0171,-0.0079,0.958,0.584,0.6344,0.0066,0.0109,-0.0026,healthy,obstruction
234.048,0.0278,0.0262,0.0116,1.0271,0.6489,0.6427,0.1355,0.1389,0.0782,healthy,obstruction
236.048,-0.0562,-0.0574,-0.0278,0.9329,0.5511,0.5904,-0.1003,-0.0964,-0.0215,healthy,obstruction
238.048,0.0571,0.0555,0.0198,1.0977,0.7113,0.6594,0.1001,0.1034,0.0498,healthy,obstruction
240.048,0.0286,0.0268,0.0238,0.9158,0.5261,0.5833,-0.0845,-0.0806,-0.0247,healthy,obstruction
242.048,-0.0625,-0.0639,-0.0263,1.0513,0.6573,0.6256,0.1311,0.1341,0.066,healthy,obstruction
244.048,0.009,0.0076,-0.0069,0.9519,0.5544,0.5849,-0.084,-0.0805,-0.0177,healthy,obstruction
