timestamp_ms,raw_x,accX,raw_y,accY,raw_z,accZ,label
75.428,-0.9980,-0.9854,0.1187,0.1171,-0.0405,-0.0396,healthy
77.429,-0.9836,-0.9647,0.1187,0.1164,-0.2053,-0.2031,healthy
79.428,-0.9900,-0.9649,0.1306,0.1275,-0.0876,-0.0848,healthy
81.428,-1.0007,-0.9694,0.1162,0.1124,-0.0439,-0.0409,healthy
83.428,-0.9736,-0.9362,0.1167,0.1122,-0.1921,-0.1879,healthy
85.428,-0.9951,-0.9516,0.1155,0.1102,-0.0251,-0.0207,healthy
87.429,-0.9985,-0.9489,0.1191,0.1132,-0.0398,-0.0352,healthy
89.429,-0.9685,-0.9130,0.1096,0.1030,-0.1597,-0.1540,healthy
91.429,-0.9980,-0.9365,0.1035,0.0963,-0.0181,-0.0124,healthy
93.429,-1.0002,-0.9327,0.1133,0.1053,-0.0449,-0.0390,healthy
95.429,-0.9795,-0.9061,0.1174,0.1088,-0.1870,-0.1799,healthy
97.428,-0.9961,-0.9168,0.1099,0.1006,-0.0447,-0.0373,healthy
99.429,-0.9978,-0.9126,0.1140,0.1041,-0.0864,-0.0786,healthy
101.429,-0.9819,-0.8910,0.1389,0.1281,-0.2200,-0.2107,healthy
103.429,-1.0015,-0.9047,0.1143,0.1028,-0.0259,-0.0165,healthy
105.429,-0.9773,-0.8749,0.1199,0.1077,-0.1125,-0.1026,healthy
107.428,-0.9932,-0.8851,0.1248,0.1119,-0.1638,-0.1528,healthy
109.428,-0.9937,-0.8799,0.1155,0.1020,0.0078,0.0187,healthy
111.428,-0.9692,-0.8500,0.1152,0.1011,-0.1003,-0.0889,healthy
113.428,-0.9944,-0.8696,0.0986,0.0839,-0.1072,-0.0951,healthy
115.429,-0.9922,-0.8618,0.1177,0.1023,-0.0063,0.0057,healthy
117.429,-0.9871,-0.8512,0.1260,0.1099,-0.1089,-0.0963,healthy
119.429,-0.9902,-0.8489,0.0974,0.0808,-0.1326,-0.1192,healthy
121.429,-1.0027,-0.8558,0.1150,0.0978,-0.0273,-0.0139,healthy
123.428,-0.9929,-0.8407,0.1335,0.1156,-0.1682,-0.1537,healthy
125.429,-0.9829,-0.8253,0.1135,0.0949,-0.1108,-0.0958,healthy
127.429,-0.9990,-0.8361,0.1096,0.0905,-0.0679,-0.0524,healthy
129.429,-0.9832,-0.8149,0.1384,0.1185,-0.1802,-0.1637,healthy
131.428,-0.9902,-0.8168,0.1135,0.0930,-0.0625,-0.0457,healthy
133.429,-0.9844,-0.8057,0.1128,0.0917,-0.0723,-0.0551,healthy
135.429,-0.9800,-0.7962,0.1187,0.0969,-0.1287,-0.1108,healthy
137.428,-1.0005,-0.8115,0.1050,0.0827,-0.0247,-0.0068,healthy
139.428,-0.9783,-0.7842,0.1133,0.0904,-0.0806,-0.0623,healthy
141.428,-0.9868,-0.7877,0.1169,0.0935,-0.0999,-0.0810,healthy
143.428,-1.0029,-0.7986,0.1016,0.0776,-0.0576,-0.0386,healthy
145.429,-0.9880,-0.7787,0.1243,0.0997,-0.1091,-0.0895,healthy
147.428,-0.9807,-0.7665,0.1152,0.0901,-0.1548,-0.1343,healthy
149.429,-0.9976,-0.7783,0.1130,0.0873,-0.0430,-0.0223,healthy
151.428,-0.9929,-0.7687,0.1211,0.0947,-0.1609,-0.1393,healthy
153.428,-0.9839,-0.7548,0.1331,0.1060,-0.1262,-0.1040,healthy
155.428,-0.9937,-0.7597,0.1104,0.0828,-0.0310,-0.0087,healthy
157.429,-0.9895,-0.7507,0.1135,0.0854,-0.1685,-0.1453,healthy
159.429,-0.9844,-0.7408,0.1216,0.0929,-0.0574,-0.0339,healthy
161.428,-0.9956,-0.7472,0.1030,0.0738,-0.0208,0.0027,healthy
163.429,-0.9729,-0.7199,0.1121,0.0823,-0.1443,-0.1201,healthy
165.428,-0.9922,-0.7344,0.1062,0.0760,-0.0369,-0.0126,healthy
167.429,-1.0049,-0.7424,0.1145,0.0838,-0.0352,-0.0108,healthy
169.428,-0.9729,-0.7058,0.1162,0.0849,-0.1736,-0.1483,healthy
171.429,-0.9993,-0.7275,0.1106,0.0788,-0.0830,-0.0574,healthy
173.429,-1.0105,-0.7340,0.1260,0.0936,-0.0508,-0.0250,healthy
175.429,-0.9700,-0.6890,0.1230,0.0901,-0.2356,-0.2084,healthy
177.428,-0.9949,-0.7094,0.1138,0.0803,-0.0447,-0.0174,healthy
179.429,-1.0029,-0.7128,0.1223,0.0882,-0.0718,-0.0442,healthy
181.428,-0.9717,-0.6772,0.1230,0.0884,-0.1980,-0.1694,healthy
183.428,-0.9875,-0.6887,0.1133,0.0781,0.0000,0.0285,healthy
185.429,-0.9849,-0.6816,0.1028,0.0672,-0.0757,-0.0469,healthy
187.428,-0.9883,-0.6806,0.1223,0.0862,-0.1316,-0.1022,healthy
189.429,-0.9951,-0.6831,0.1006,0.0640,-0.0120,0.0173,healthy
191.429,-0.9785,-0.6622,0.1145,0.0775,-0.0696,-0.0400,healthy
193.429,-0.9956,-0.6749,0.1125,0.0750,-0.1541,-0.1237,healthy
195.429,-1.0034,-0.6784,0.1223,0.0842,-0.0405,-0.0101,healthy
197.429,-0.9805,-0.6512,0.1338,0.0951,-0.1162,-0.0852,healthy
199.428,-0.9910,-0.6575,0.1089,0.0698,-0.1851,-0.1531,healthy
201.428,-1.0044,-0.6666,0.1245,0.0848,-0.0254,0.0065,healthy
203.429,-0.9810,-0.6391,0.1353,0.0950,-0.1819,-0.1490,healthy
205.429,-0.9795,-0.6335,0.1116,0.0708,-0.0928,-0.0595,healthy
207.429,-0.9985,-0.6484,0.1113,0.0701,-0.0347,-0.0014,healthy
209.429,-0.9897,-0.6355,0.1316,0.0898,-0.1277,-0.0938,healthy
211.428,-0.9871,-0.6288,0.0957,0.0536,-0.0530,-0.0190,healthy
213.429,-0.9888,-0.6265,0.1099,0.0673,-0.0430,-0.0089,healthy
215.428,-0.9851,-0.6188,0.1169,0.0739,-0.1143,-0.0797,healthy
217.428,-0.9995,-0.6292,0.1055,0.0620,-0.0786,-0.0438,healthy
219.428,-0.9878,-0.6135,0.1177,0.0738,-0.0708,-0.0357,healthy
221.428,-0.9861,-0.6079,0.1223,0.0779,-0.1570,-0.1211,healthy
223.429,-1.0054,-0.6231,0.1177,0.0728,-0.0706,-0.0345,healthy
225.429,-0.9875,-0.6014,0.1211,0.0757,-0.1045,-0.0680,healthy
227.428,-0.9746,-0.5847,0.1265,0.0806,-0.1614,-0.1241,healthy
229.428,-0.9963,-0.6026,0.1140,0.0677,-0.0261,0.0111,healthy
231.428,-0.9834,-0.5859,0.1128,0.0660,-0.1270,-0.0891,healthy
233.428,-0.9819,-0.5807,0.1177,0.0705,-0.0857,-0.0476,healthy
235.429,-0.9905,-0.5854,0.0911,0.0436,-0.0261,0.0119,healthy
237.428,-0.9863,-0.5776,0.1191,0.0712,-0.1128,-0.0743,healthy
239.429,-0.9885,-0.5761,0.1133,0.0649,-0.0725,-0.0338,healthy
241.428,-0.9985,-0.5823,0.1008,0.0521,-0.0317,0.0070,healthy
243.429,-0.9819,-0.5621,0.1243,0.0751,-0.1521,-0.1127,healthy
245.429,-0.9956,-0.5721,0.1167,0.0671,-0.1021,-0.0622,healthy
247.428,-1.0046,-0.5774,0.1162,0.0662,-0.0491,-0.0092,healthy
249.428,-0.9783,-0.5475,0.1191,0.0687,-0.2043,-0.1634,healthy
251.428,-0.9922,-0.5578,0.1257,0.0748,-0.0842,-0.0430,healthy
253.428,-1.0061,-0.5681,0.1208,0.0694,-0.0466,-0.0054,healthy
255.429,-0.9683,-0.5268,0.1174,0.0656,-0.2002,-0.1579,healthy
257.429,-0.9919,-0.5470,0.1155,0.0632,-0.0203,0.0219,healthy
259.428,-0.9968,-0.5484,0.1096,0.0570,-0.0437,-0.0016,healthy
261.428,-0.9729,-0.5211,0.1143,0.0613,-0.1511,-0.1083,healthy
263.428,-0.9966,-0.5413,0.1045,0.0512,-0.0234,0.0193,healthy
265.428,-0.9919,-0.5332,0.1067,0.0530,-0.0479,-0.0051,healthy
267.428,-0.9900,-0.5278,0.1240,0.0699,-0.1812,-0.1375,healthy
269.428,-0.9990,-0.5334,0.1116,0.0571,-0.0491,-0.0054,healthy
271.428,-0.9851,-0.5162,0.1125,0.0577,-0.0886,-0.0447,healthy
273.429,-0.9958,-0.5236,0.1274,0.0721,-0.2007,-0.1557,healthy
275.428,-0.9968,-0.5212,0.1206,0.0649,-0.0217,0.0231,healthy
277.429,-0.9795,-0.5006,0.1223,0.0661,-0.1348,-0.0894,healthy
279.428,-0.9890,-0.5069,0.1199,0.0633,-0.1489,-0.1029,healthy
281.428,-0.9956,-0.5102,0.1172,0.0602,-0.0027,0.0431,healthy
283.429,-0.9753,-0.4868,0.1235,0.0661,-0.1123,-0.0661,healthy
285.429,-0.9839,-0.4922,0.0923,0.0347,-0.0991,-0.0526,healthy
287.428,-0.9995,-0.5045,0.1169,0.0590,-0.0264,0.0200,healthy
289.429,-0.9946,-0.4965,0.1211,0.0627,-0.1045,-0.0577,healthy
291.428,-0.9849,-0.4836,0.0962,0.0376,-0.1008,-0.0537,healthy
293.428,-0.9954,-0.4909,0.1145,0.0555,-0.0486,-0.0014,healthy
295.429,-0.9893,-0.4817,0.1316,0.0721,-0.1643,-0.1164,healthy
297.429,-0.9951,-0.4844,0.1184,0.0586,-0.1079,-0.0596,healthy
299.428,-0.9971,-0.4833,0.1113,0.0512,-0.0691,-0.0207,healthy
301.428,-0.9807,-0.4639,0.1292,0.0685,-0.1873,-0.1380,healthy
303.428,-0.9971,-0.4772,0.1184,0.0574,-0.0481,0.0012,healthy
305.428,-0.9827,-0.4599,0.1111,0.0498,-0.0786,-0.0291,healthy
307.429,-0.9749,-0.4492,0.1155,0.0538,-0.1184,-0.0685,healthy
309.429,-0.9980,-0.4693,0.1013,0.0394,-0.0220,0.0278,healthy
