timestamp_ms,raw_x,accX,raw_y,accY,raw_z,accZ,label
75.432,-1.0071,-0.9945,0.0730,0.0715,-0.1772,-0.1753,healthy
77.431,-0.9927,-0.9738,0.1245,0.1222,-0.0935,-0.0910,healthy
79.432,-1.0034,-0.9782,0.1184,0.1154,0.0166,0.0190,healthy
81.431,-0.9954,-0.9640,0.1033,0.0996,-0.0742,-0.0713,healthy
83.431,-0.9702,-0.9328,0.1379,0.1334,-0.0950,-0.0915,healthy
85.431,-0.9739,-0.9305,0.1267,0.1214,-0.1104,-0.1062,healthy
87.431,-0.9941,-0.9447,0.0967,0.0908,-0.1052,-0.1004,healthy
89.431,-0.9890,-0.9335,0.1646,0.1576,-0.0354,-0.0304,healthy
91.431,-1.0542,-0.9923,0.0276,0.0205,0.0291,0.0338,healthy
93.432,-0.9023,-0.8351,0.2627,0.2540,-0.3235,-0.3167,healthy
95.431,-0.9854,-0.9122,0.0405,0.0316,-0.3047,-0.2960,healthy
97.432,-1.0132,-0.9340,0.1047,0.0952,-0.1313,-0.1218,healthy
99.431,-0.9929,-0.9079,0.1575,0.1470,0.2217,0.2297,healthy
101.431,-1.0129,-0.9220,0.1091,0.0980,-0.0591,-0.0507,healthy
103.431,-0.9719,-0.8753,0.0925,0.0809,-0.0740,-0.0652,healthy
105.432,-0.9731,-0.8709,0.1255,0.1132,-0.2104,-0.2004,healthy
107.431,-0.9985,-0.8906,0.1104,0.0974,-0.1340,-0.1232,healthy
109.431,-1.0068,-0.8931,0.1328,0.1191,-0.0808,-0.0695,healthy
111.432,-0.9990,-0.8797,0.1411,0.1266,-0.1160,-0.1040,healthy
113.431,-0.9355,-0.8110,0.1626,0.1471,-0.2043,-0.1911,healthy
115.431,-0.9968,-0.8667,0.0457,0.0300,-0.1470,-0.1329,healthy
117.432,-1.0825,-0.9463,0.0845,0.0683,0.0842,0.0977,healthy
119.431,-0.9370,-0.7956,0.1360,0.1191,-0.0630,-0.0492,healthy
121.431,-0.9937,-0.8468,0.1187,0.1011,-0.0125,0.0013,healthy
123.431,-0.9553,-0.8033,0.1206,0.1024,-0.0791,-0.0649,healthy
125.431,-0.9814,-0.8241,0.1221,0.1032,-0.1445,-0.1295,healthy
127.431,-1.0095,-0.8468,0.1084,0.0890,-0.1440,-0.1282,healthy
129.431,-1.0088,-0.8406,0.1230,0.1029,-0.1267,-0.1102,healthy
131.432,-0.9561,-0.7828,0.1289,0.1081,-0.0898,-0.0728,healthy
133.431,-0.8843,-0.7065,0.1519,0.1302,-0.2681,-0.2495,healthy
135.431,-1.2090,-1.0246,-0.0493,-0.0705,0.2598,0.2766,healthy
137.431,-0.8828,-0.6940,0.2253,0.2029,0.0186,0.0352,healthy
139.432,-1.0044,-0.8103,0.1375,0.1142,-0.0752,-0.0582,healthy
141.431,-1.0066,-0.8073,0.0642,0.0407,-0.2468,-0.2284,healthy
143.431,-0.9431,-0.7391,0.2166,0.1918,-0.2805,-0.2604,healthy
145.431,-1.0083,-0.7991,0.1016,0.0763,-0.2070,-0.1857,healthy
147.432,-0.9902,-0.7761,0.0745,0.0489,-0.1394,-0.1173,healthy
149.431,-0.9438,-0.7250,0.1362,0.1100,-0.1179,-0.0952,healthy
151.431,-1.0493,-0.8252,0.0159,-0.0103,0.1780,0.1994,healthy
153.431,-0.9890,-0.7600,0.1340,0.1072,0.1560,0.1763,healthy
