timestamp_ms,raw_x,accX,raw_y,accY,raw_z,accZ,label
75.428,-1.0847,-1.0713,0.0703,0.0693,-0.0415,-0.0403,healthy
77.428,-0.9729,-0.9533,0.1582,0.1562,0.0166,0.0177,healthy
79.428,-0.8599,-0.8349,0.1711,0.1680,-0.1616,-0.1595,healthy
81.428,-1.0710,-1.0394,0.0178,0.0146,-0.1511,-0.1480,healthy
83.428,-0.9819,-0.9442,0.1860,0.1817,-0.1377,-0.1337,healthy
85.428,-1.0034,-0.9595,0.1479,0.1426,0.0205,0.0243,healthy
87.428,-0.9475,-0.8978,0.1917,0.1852,-0.1743,-0.1694,healthy
89.428,-1.0564,-1.0003,-0.0288,-0.0351,-0.0981,-0.0926,healthy
91.428,-0.9631,-0.9012,0.2351,0.2274,-0.0833,-0.0773,healthy
93.428,-0.9968,-0.9289,0.1006,0.0923,0.0034,0.0094,healthy
95.428,-0.9993,-0.9254,0.0991,0.0902,-0.1519,-0.1450,healthy
97.428,-1.0315,-0.9515,0.0105,0.0016,-0.1877,-0.1797,healthy
99.428,-0.9438,-0.8583,0.2085,0.1983,-0.0039,0.0041,healthy
101.428,-0.9480,-0.8570,0.0750,0.0643,-0.0869,-0.0784,healthy
103.428,-1.0081,-0.9111,0.1245,0.1132,-0.0640,-0.0551,healthy
105.428,-1.0884,-0.9851,-0.0024,-0.0137,-0.2329,-0.2226,healthy
107.428,-0.9111,-0.8027,0.2529,0.2401,0.0698,0.0796,healthy
109.428,-0.9451,-0.8313,0.0396,0.0266,-0.1824,-0.1715,healthy
111.428,-1.0396,-0.9198,0.1489,0.1351,-0.0181,-0.0071,healthy
113.428,-0.9565,-0.8315,0.1768,0.1619,-0.1663,-0.1543,healthy
115.428,-1.0215,-0.8907,0.1062,0.0907,-0.0574,-0.0452,healthy
117.428,-0.9734,-0.8372,0.1208,0.1047,-0.1372,-0.1242,healthy
119.428,-1.0283,-0.8864,0.1438,0.1268,-0.1267,-0.1130,healthy
121.428,-0.9695,-0.8223,0.1150,0.0974,-0.0745,-0.0603,healthy
123.428,-0.9919,-0.8393,0.0984,0.0803,-0.1223,-0.1075,healthy
125.428,-1.0012,-0.8432,0.1069,0.0883,-0.0076,0.0072,healthy
127.428,-0.9749,-0.8116,0.1023,0.0831,-0.1294,-0.1139,healthy
129.428,-0.9980,-0.8294,0.0950,0.0753,-0.0447,-0.0290,healthy
131.428,-0.9741,-0.8004,0.1172,0.0969,-0.1772,-0.1605,healthy
133.428,-0.9875,-0.8086,0.1111,0.0902,-0.0100,0.0067,healthy
135.428,-0.9915,-0.8073,0.1016,0.0802,-0.1162,-0.0989,healthy
137.428,-0.9851,-0.7958,0.1150,0.0930,-0.0889,-0.0711,healthy
139.428,-0.9924,-0.7980,0.1343,0.1115,-0.0752,-0.0570,healthy
141.428,-0.9888,-0.7893,0.1250,0.1016,-0.1597,-0.1406,healthy
143.428,-0.9956,-0.7910,0.1201,0.0961,-0.0454,-0.0262,healthy
145.428,-0.9666,-0.7571,0.1335,0.1088,-0.1423,-0.1223,healthy
147.428,-1.0208,-0.8061,0.0881,0.0630,-0.0908,-0.0703,healthy
149.428,-0.9729,-0.7534,0.1677,0.1417,-0.0579,-0.0372,healthy
151.428,-1.0063,-0.7818,0.0410,0.0149,-0.1562,-0.1347,healthy
153.428,-0.9514,-0.7222,0.1787,0.1516,-0.1406,-0.1183,healthy
155.428,-1.0210,-0.7867,0.1042,0.0767,-0.0010,0.0212,healthy
157.428,-0.9646,-0.7256,0.1545,0.1261,-0.0757,-0.0531,healthy
159.428,-0.9949,-0.7511,-0.0063,-0.0345,-0.1519,-0.1285,healthy
161.428,-0.9861,-0.7375,0.2019,0.1726,-0.0273,-0.0039,healthy
163.428,-1.0022,-0.7488,0.1182,0.0883,-0.0640,-0.0403,healthy
165.428,-0.9690,-0.7110,0.0923,0.0620,-0.0637,-0.0398,healthy
167.428,-1.0823,-0.8190,0.0139,-0.0162,-0.2278,-0.2026,healthy
169.428,-0.8813,-0.6142,0.2324,0.2010,-0.0227,0.0025,healthy
171.428,-1.0059,-0.7339,0.0718,0.0401,-0.1045,-0.0788,healthy
173.428,-0.9990,-0.7225,0.1438,0.1114,-0.0823,-0.0562,healthy
175.428,-1.0020,-0.7207,0.0449,0.0124,-0.1975,-0.1703,healthy
177.428,-0.9946,-0.7089,0.1775,0.1441,-0.1299,-0.1021,healthy
179.428,-0.9727,-0.6825,0.1123,0.0784,-0.0247,0.0031,healthy
181.428,-0.9746,-0.6801,0.1406,0.1060,-0.1226,-0.0941,healthy
183.428,-1.0027,-0.7036,0.1243,0.0891,-0.1086,-0.0797,healthy
185.428,-0.9971,-0.6935,0.1323,0.0965,-0.0317,-0.0028,healthy
187.428,-0.9724,-0.6646,0.0920,0.0559,-0.0120,0.0169,healthy
189.428,-1.0322,-0.7198,0.1431,0.1062,-0.1372,-0.1077,healthy
191.428,-1.0051,-0.6882,0.1177,0.0803,-0.1265,-0.0963,healthy
193.428,-0.9133,-0.5926,0.1111,0.0732,-0.0222,0.0079,healthy
195.428,-1.0593,-0.7339,0.0571,0.0192,-0.1243,-0.0936,healthy
197.428,-0.9924,-0.6627,0.1421,0.1035,-0.0183,0.0123,healthy
199.428,-0.9116,-0.5782,0.1082,0.0691,-0.2073,-0.1755,healthy
201.428,-1.0256,-0.6878,0.0913,0.0519,-0.0286,0.0032,healthy
203.428,-1.0117,-0.6695,0.1392,0.0991,-0.1814,-0.1487,healthy
205.428,-0.9744,-0.6281,0.1279,0.0873,-0.0793,-0.0464,healthy
207.428,-0.9624,-0.6122,0.1104,0.0693,-0.1150,-0.0815,healthy
209.428,-1.0046,-0.6503,0.1360,0.0943,-0.0764,-0.0426,healthy
211.428,-0.9858,-0.6274,0.1328,0.0906,-0.0652,-0.0312,healthy
213.428,-0.9946,-0.6322,0.1165,0.0737,-0.1167,-0.0822,healthy
215.428,-1.0037,-0.6371,0.1335,0.0902,-0.0474,-0.0128,healthy
217.428,-0.9744,-0.6039,0.0955,0.0518,-0.1223,-0.0872,healthy
219.428,-1.0088,-0.6342,0.1084,0.0643,-0.0186,0.0165,healthy
221.428,-0.9702,-0.5919,0.1179,0.0734,-0.1152,-0.0797,healthy
223.428,-1.0132,-0.6308,0.1062,0.0613,-0.0498,-0.0141,healthy
225.428,-0.9822,-0.5959,0.1179,0.0725,-0.1492,-0.1128,healthy
227.428,-0.9841,-0.5940,0.1030,0.0573,-0.1038,-0.0669,healthy
229.428,-1.0049,-0.6109,0.1240,0.0778,-0.0642,-0.0272,healthy
231.428,-0.9817,-0.5839,0.1250,0.0782,-0.1694,-0.1316,healthy
233.428,-0.9873,-0.5857,0.1169,0.0697,-0.0349,0.0029,healthy
235.428,-0.9814,-0.5762,0.1272,0.0795,-0.1689,-0.1303,healthy
237.428,-0.9968,-0.5878,0.1072,0.0591,-0.0051,0.0333,healthy
239.428,-0.9861,-0.5733,0.1199,0.0713,-0.1792,-0.1399,healthy
241.428,-0.9819,-0.5655,0.1140,0.0650,-0.0498,-0.0104,healthy
243.428,-0.9937,-0.5736,0.1279,0.0784,-0.0891,-0.0494,healthy
245.428,-0.9839,-0.5602,0.1006,0.0508,-0.0703,-0.0304,healthy
247.428,-0.9946,-0.5673,0.1179,0.0677,-0.0730,-0.0329,healthy
249.428,-0.9863,-0.5554,0.1179,0.0672,-0.1121,-0.0715,healthy
251.428,-0.9949,-0.5603,0.1228,0.0717,-0.0391,0.0015,healthy
253.428,-0.9834,-0.5453,0.1011,0.0496,-0.1594,-0.1181,healthy
255.428,-0.9985,-0.5569,0.1138,0.0619,-0.0366,0.0047,healthy
257.428,-0.9998,-0.5545,0.1250,0.0727,-0.1233,-0.0814,healthy
259.428,-0.9883,-0.5396,0.1235,0.0707,-0.0916,-0.0494,healthy
261.428,-0.9890,-0.5369,0.1069,0.0538,-0.1106,-0.0680,healthy
263.428,-0.9856,-0.5300,0.1226,0.0690,-0.1558,-0.1124,healthy
265.428,-1.0115,-0.5524,0.1279,0.0739,-0.0264,0.0168,healthy
267.428,-0.9641,-0.5018,0.1074,0.0530,-0.1741,-0.1300,healthy
269.428,-0.9897,-0.5240,0.1062,0.0515,-0.0144,0.0295,healthy
271.428,-0.9900,-0.5209,0.1235,0.0684,-0.1179,-0.0736,healthy
273.428,-0.9915,-0.5190,0.1147,0.0592,-0.0371,0.0072,healthy
275.428,-0.9751,-0.4995,0.1096,0.0537,-0.1375,-0.0926,healthy
277.428,-0.9941,-0.5152,0.1084,0.0522,-0.0747,-0.0296,healthy
279.428,-0.9976,-0.5153,0.1226,0.0659,-0.0647,-0.0195,healthy
281.428,-0.9939,-0.5083,0.1079,0.0509,-0.1362,-0.0904,healthy
283.428,-0.9819,-0.4932,0.1138,0.0564,-0.0364,0.0093,healthy
285.428,-0.9915,-0.4995,0.1204,0.0626,-0.1567,-0.1103,healthy
287.428,-1.0022,-0.5070,0.1138,0.0557,-0.0354,0.0110,healthy
289.428,-0.9878,-0.4894,0.1272,0.0686,-0.1870,-0.1397,healthy
291.428,-0.9771,-0.4756,0.1157,0.0568,-0.1040,-0.0564,healthy
293.428,-0.9961,-0.4915,0.1270,0.0676,-0.0728,-0.0250,healthy
295.428,-0.9756,-0.4680,0.1086,0.0490,-0.1292,-0.0808,healthy
297.428,-0.9951,-0.4844,0.1135,0.0535,-0.0352,0.0131,healthy
299.428,-0.9827,-0.4689,0.1169,0.0566,-0.1199,-0.0712,healthy
301.428,-0.9814,-0.4647,0.1042,0.0436,-0.0195,0.0290,healthy
303.428,-1.0176,-0.4976,0.1230,0.0620,-0.1521,-0.1029,healthy
305.428,-0.9841,-0.4612,0.0937,0.0325,-0.0781,-0.0288,healthy
307.428,-0.9451,-0.4195,0.1499,0.0881,-0.0532,-0.0039,healthy
309.428,-1.0378,-0.5089,0.0764,0.0145,-0.1296,-0.0798,healthy
311.428,-1.0046,-0.4727,0.1299,0.0675,-0.0081,0.0416,healthy
313.428,-0.9360,-0.4015,0.1255,0.0627,-0.1987,-0.1482,healthy
315.428,-1.0037,-0.4661,0.0852,0.0223,-0.0308,0.0197,healthy
317.428,-1.0300,-0.4893,0.1375,0.0741,-0.1963,-0.1449,healthy
319.428,-0.9709,-0.4275,0.1338,0.0699,-0.0686,-0.0171,healthy
321.428,-0.9700,-0.4238,0.1135,0.0494,-0.0876,-0.0359,healthy
323.428,-0.9873,-0.4383,0.1162,0.0517,-0.1387,-0.0864,healthy
325.428,-0.9846,-0.4328,0.1069,0.0422,-0.0432,0.0090,healthy
327.428,-1.0581,-0.5031,0.1274,0.0623,-0.0576,-0.0054,healthy
329.428,-0.9495,-0.3919,0.1567,0.0910,-0.0906,-0.0381,healthy
331.428,-0.9268,-0.3669,0.0593,-0.0064,-0.1243,-0.0713,healthy
333.428,-1.0918,-0.5285,0.0510,-0.0146,-0.0508,0.0022,healthy
335.428,-0.9741,-0.4082,0.1743,0.1080,-0.0017,0.0509,healthy
337.428,-0.9119,-0.3437,0.1140,0.0474,-0.1772,-0.1238,healthy
339.428,-1.0303,-0.4592,0.1196,0.0527,-0.0889,-0.0352,healthy
341.428,-0.9851,-0.4113,0.0742,0.0072,-0.1597,-0.1053,healthy
343.428,-1.0334,-0.4567,0.1697,0.1020,0.0459,0.0996,healthy
345.428,-0.9287,-0.3498,0.1797,0.1113,-0.2329,-0.1781,healthy
347.428,-1.0149,-0.4332,0.0498,-0.0185,-0.0459,0.0089,healthy
349.428,-1.0198,-0.4352,0.1248,0.0561,-0.1106,-0.0555,healthy
351.428,-0.9724,-0.3854,0.1362,0.0672,-0.0093,0.0456,healthy
353.428,-0.9675,-0.3781,0.1514,0.0818,-0.1714,-0.1158,healthy
355.428,-1.0151,-0.4229,0.0261,-0.0432,-0.1443,-0.0881,healthy
357.428,-0.9590,-0.3644,0.1326,0.0629,-0.0383,0.0177,healthy
359.428,-1.0120,-0.4148,0.0999,0.0300,-0.0605,-0.0045,healthy
361.428,-0.9714,-0.3718,0.1987,0.1280,-0.0813,-0.0251,healthy
363.428,-0.9858,-0.3838,0.0198,-0.0506,-0.1370,-0.0802,healthy
365.428,-0.9934,-0.3888,0.1401,0.0693,-0.0659,-0.0091,healthy
367.428,-0.9856,-0.3786,0.1421,0.0708,-0.0334,0.0232,healthy
369.428,-0.9849,-0.3754,0.1909,0.1189,-0.1541,-0.0968,healthy
371.428,-1.0627,-0.4504,0.0208,-0.0510,-0.1082,-0.0506,healthy
373.428,-0.9358,-0.3214,0.1484,0.0762,-0.1687,-0.1104,healthy
375.428,-0.9568,-0.3402,0.0972,0.0248,0.0483,0.1060,healthy
377.428,-1.0798,-0.4603,0.1721,0.0991,-0.1638,-0.1055,healthy
379.428,-0.9456,-0.3239,0.0200,-0.0527,-0.0964,-0.0379,healthy
381.428,-0.9685,-0.3446,0.1267,0.0537,-0.1858,-0.1264,healthy
383.428,-0.9888,-0.3626,0.1621,0.0885,0.0127,0.0716,healthy
385.428,-0.9543,-0.3260,0.1370,0.0630,-0.0842,-0.0252,healthy
387.428,-1.0530,-0.4220,0.0317,-0.0420,-0.1609,-0.1012,healthy
389.428,-0.9556,-0.3225,0.2085,0.1339,-0.0166,0.0428,healthy
