timestamp_ms,raw_x,accX,raw_y,accY,raw_z,accZ,label
75.958,-1.0134,-0.9975,0.1255,0.1235,0.033,0.0324,healthy
80.956,-0.9717,-0.9408,0.144,0.1398,-0.2183,-0.2153,healthy
85.956,-0.9783,-0.9325,0.1287,0.1225,0.0078,0.0106,healthy
90.956,-0.9692,-0.909,0.1235,0.1155,-0.0862,-0.0821,healthy
95.956,-0.9963,-0.9214,0.126,0.1161,-0.064,-0.059,healthy
100.956,-0.9973,-0.9078,0.1228,0.1112,-0.0791,-0.0729,healthy
105.956,-0.9736,-0.8703,0.1421,0.1284,-0.2012,-0.1919,healthy
110.956,-1.002,-0.8845,0.1196,0.1043,0.0754,0.0833,healthy
115.956,-0.9709,-0.8401,0.1316,0.1144,-0.1938,-0.183,healthy
120.956,-1.0142,-0.8694,0.1172,0.0985,0.0344,0.0445,healthy
125.956,-0.9634,-0.8058,0.1387,0.1181,-0.2563,-0.2424,healthy
135.957,-0.9697,-0.7994,0.1277,0.1054,-0.114,-0.0985,healthy
140.956,-0.9958,-0.8126,0.1226,0.0987,-0.0154,0.0002,healthy
145.956,-0.981,-0.7851,0.1304,0.1048,-0.1252,-0.108,healthy
150.956,-0.98,-0.7719,0.1316,0.1044,-0.1355,-0.1164,healthy
155.956,-0.9998,-0.7792,0.1392,0.1102,0.031,0.0493,healthy
160.956,-0.9868,-0.7542,0.1299,0.0993,-0.1755,-0.1547,healthy
165.956,-1.0027,-0.758,0.1294,0.0973,0.0325,0.0524,healthy
175.957,-0.9758,-0.7197,0.1335,0.0999,-0.2004,-0.1776,healthy
180.956,-0.9792,-0.7117,0.1426,0.1072,-0.1824,-0.1571,healthy
185.956,-1.0093,-0.7301,0.1323,0.0954,0.0186,0.0432,healthy
190.956,-0.9702,-0.6802,0.1343,0.0958,-0.1714,-0.1445,healthy
195.956,-0.9661,-0.6655,0.127,0.0871,-0.0422,-0.0151,healthy
200.956,-0.9985,-0.687,0.1282,0.0869,-0.032,-0.0047,healthy
205.956,-0.9878,-0.6656,0.1238,0.0813,-0.1226,-0.0938,healthy
215.957,-1.0054,-0.6725,0.1204,0.0766,0.0581,0.0855,healthy
220.956,-0.9917,-0.6484,0.1243,0.0793,0.0928,0.1183,healthy
225.956,-0.9827,-0.6294,0.1262,0.0799,-0.2229,-0.1943,healthy
230.956,-1.0024,-0.639,0.1226,0.0751,0.0425,0.0699,healthy
235.956,-0.9712,-0.5982,0.1423,0.0934,-0.2278,-0.1972,healthy
240.956,-0.9778,-0.5953,0.1272,0.077,0.0208,0.0506,healthy
245.956,-0.9692,-0.5775,0.124,0.0727,-0.0815,-0.0509,healthy
255.957,-0.9783,-0.5773,0.1299,0.0773,-0.1951,-0.1619,healthy
260.956,-0.9697,-0.5599,0.144,0.09,-0.2,-0.1641,healthy
