timestamp_ms,raw_x,accX,raw_y,accY,raw_z,accZ,label
80.959,-0.8760,-0.8494,0.4075,0.3964,-0.2637,-0.2573,imbalanced
85.959,-1.1460,-1.1018,-0.0767,-0.0864,0.3384,0.3394,imbalanced
90.959,-1.0708,-1.0105,0.0464,0.0361,-0.0481,-0.0464,imbalanced
95.959,-0.9548,-0.8805,0.2227,0.2090,0.1155,0.1154,imbalanced
100.959,-1.0195,-0.9303,0.0693,0.0548,-0.0881,-0.0869,imbalanced
105.959,-1.0452,-0.9410,-0.2063,-0.2174,-0.3730,-0.3659,imbalanced
110.959,-1.0176,-0.8990,0.1831,0.1694,0.1094,0.1147,imbalanced
115.959,-0.8918,-0.7612,0.2202,0.2032,-0.1917,-0.1834,imbalanced
120.959,-1.0955,-0.9496,-0.0447,-0.0607,-0.1514,-0.1409,imbalanced
125.959,-1.0046,-0.8453,0.1194,0.1017,-0.0371,-0.0262,imbalanced
130.959,-0.9131,-0.7419,-0.0920,-0.1080,-0.3860,-0.3692,imbalanced
135.959,-0.9033,-0.7207,0.1328,0.1151,0.1218,0.1364,imbalanced
140.959,-1.0410,-0.8449,0.0815,0.0628,0.1931,0.2044,imbalanced
145.959,-0.9834,-0.7749,0.0488,0.0296,-0.2292,-0.2145,imbalanced
150.959,-0.9336,-0.7137,0.2078,0.1856,-0.0674,-0.0518,imbalanced
155.959,-0.8274,-0.5980,0.3350,0.3079,-0.3477,-0.3269,imbalanced
160.959,-1.0974,-0.8544,0.0188,-0.0082,-0.1987,-0.1751,imbalanced
165.959,-1.0283,-0.7730,0.1440,0.1152,-0.0659,-0.0417,imbalanced
170.959,-0.9045,-0.6390,0.2849,0.2521,-0.2153,-0.1881,imbalanced
175.959,-1.1006,-0.8219,-0.0352,-0.0669,-0.0527,-0.0251,imbalanced
180.959,-1.3325,-1.0373,-0.2095,-0.2375,0.3691,0.3906,imbalanced
185.959,-0.9033,-0.5986,0.1240,0.0945,-0.4521,-0.4240,imbalanced
190.959,-0.9844,-0.6690,0.2031,0.1709,0.1528,0.1782,imbalanced
195.959,-0.9321,-0.6070,0.1958,0.1610,0.0464,0.0706,imbalanced
200.959,-1.0088,-0.6730,0.1558,0.1191,-0.2217,-0.1944,imbalanced
205.959,-1.0864,-0.7388,-0.0740,-0.1089,-0.2253,-0.1949,imbalanced
210.959,-0.9431,-0.5861,0.1912,0.1538,0.0078,0.0376,imbalanced
215.959,-0.9270,-0.5611,0.0959,0.0576,-0.2866,-0.2528,imbalanced
220.959,-1.1460,-0.7678,-0.1306,-0.1663,0.0034,0.0367,imbalanced
225.959,-1.0137,-0.6255,0.1580,0.1204,-0.0022,0.0306,imbalanced
230.959,-0.7661,-0.3720,0.3762,0.3333,-0.4382,-0.3991,imbalanced
235.959,-0.9421,-0.5395,0.1216,0.0774,-0.0356,0.0035,imbalanced
240.959,-1.0627,-0.6497,0.0344,-0.0096,-0.1445,-0.1038,imbalanced
245.959,-1.0085,-0.5862,0.1514,0.1057,-0.0552,-0.0142,imbalanced
250.959,-0.8447,-0.4157,0.1301,0.0831,-0.0977,-0.0558,imbalanced
255.959,-0.9958,-0.5579,-0.0217,-0.0676,-0.3994,-0.3519,imbalanced
260.959,-1.0464,-0.5989,0.0498,0.0038,-0.1477,-0.0987,imbalanced
265.959,-0.8540,-0.4001,0.2607,0.2114,0.0693,0.1165,imbalanced
270.959,-0.9211,-0.4599,0.1016,0.0514,-0.2903,-0.2393,imbalanced
275.959,-0.9053,-0.4371,-0.0142,-0.0633,0.0317,0.0815,imbalanced
280.959,-1.0220,-0.5451,0.0676,0.0182,-0.3691,-0.3144,imbalanced
285.959,-0.9014,-0.4178,0.1860,0.1344,-0.1904,-0.1336,imbalanced
290.959,-0.9536,-0.4627,0.1848,0.1311,0.1511,0.2047,imbalanced
295.959,-1.0718,-0.5718,0.0264,-0.0269,-0.1746,-0.1191,imbalanced
300.959,-1.0034,-0.4955,-0.0481,-0.0998,-0.0735,-0.0177,imbalanced
305.959,-0.8362,-0.3231,0.3618,0.3053,0.0295,0.0840,imbalanced
310.959,-0.9805,-0.4600,0.0854,0.0285,-0.2773,-0.2194,imbalanced
315.959,-1.0955,-0.5660,0.0972,0.0395,0.2161,0.2697,imbalanced
320.959,-0.8352,-0.3010,0.3074,0.2458,-0.1318,-0.0770,imbalanced
325.959,-0.8625,-0.3231,0.4399,0.3725,-0.3018,-0.2430,imbalanced
330.959,-1.1289,-0.5802,-0.0654,-0.1308,0.3582,0.4103,imbalanced
335.959,-1.0781,-0.5212,0.0330,-0.0319,-0.0247,0.0271,imbalanced
340.959,-0.9556,-0.3923,0.2053,0.1382,0.0764,0.1262,imbalanced
345.959,-1.0188,-0.4484,0.0803,0.0130,-0.0891,-0.0387,imbalanced
350.959,-1.0747,-0.4964,-0.2336,-0.2962,-0.4080,-0.3520,imbalanced
355.959,-1.0176,-0.4324,0.1575,0.0934,0.0920,0.1457,imbalanced
360.959,-0.8713,-0.2816,0.2354,0.1686,-0.1731,-0.1176,imbalanced
365.959,-1.0918,-0.4942,-0.0286,-0.0938,-0.1748,-0.1174,imbalanced
370.959,-1.0259,-0.4216,0.0894,0.0237,-0.0405,0.0166,imbalanced
375.959,-0.9170,-0.3078,-0.0908,-0.1540,-0.3560,-0.2941,imbalanced
380.959,-0.8899,-0.2763,0.1353,0.0709,0.0718,0.1315,imbalanced
385.959,-1.0259,-0.4058,0.0901,0.0254,0.2148,0.2703,imbalanced
390.959,-0.9861,-0.3603,0.0352,-0.0291,-0.2334,-0.1752,imbalanced
395.959,-0.9346,-0.3039,0.2085,0.1420,-0.0884,-0.0297,imbalanced
400.959,-0.8005,-0.1672,0.3538,0.2827,-0.3423,-0.2791,imbalanced
405.959,-1.0876,-0.4472,0.0188,-0.0514,-0.2046,-0.1392,imbalanced
410.959,-1.0317,-0.3851,0.1160,0.0450,-0.0789,-0.0133,imbalanced
415.959,-0.9028,-0.2522,0.2969,0.2224,-0.2122,-0.1443,imbalanced
420.959,-1.1006,-0.4429,-0.0400,-0.1127,-0.0474,0.0202,imbalanced
425.959,-1.3364,-0.6681,-0.2290,-0.2969,0.4202,0.4801,imbalanced
430.959,-0.8982,-0.2262,0.1257,0.0569,-0.4780,-0.4116,imbalanced
435.959,-0.9827,-0.3058,0.2078,0.1367,0.1401,0.2034,imbalanced
440.959,-1.0227,-0.3404,0.0288,-0.0416,-0.1621,-0.0973,imbalanced
445.959,-0.9937,-0.3065,0.1455,0.0740,-0.1663,-0.0999,imbalanced
450.959,-0.8862,-0.1959,0.2898,0.2148,0.0413,0.1059,imbalanced
455.959,-0.9934,-0.2984,0.1416,0.0656,-0.1736,-0.1072,imbalanced
460.959,-1.1917,-0.4888,0.0088,-0.0662,-0.2090,-0.1404,imbalanced
465.959,-0.9373,-0.2307,0.1987,0.1218,0.0845,0.1507,imbalanced
470.959,-0.9329,-0.2228,0.1150,0.0375,-0.0950,-0.0283,imbalanced
475.959,-0.9875,-0.2731,0.1235,0.0453,0.6621,0.7173,imbalanced
480.959,-0.9727,-0.2542,0.0012,-0.0758,-0.2800,-0.2213,imbalanced
485.959,-0.9241,-0.2024,0.1550,0.0768,-0.1895,-0.1286,imbalanced
490.959,-0.9387,-0.2136,0.1633,0.0838,0.0276,0.0870,imbalanced
495.959,-1.0173,-0.2876,0.1384,0.0579,-0.2378,-0.1756,imbalanced
500.959,-1.1003,-0.3648,0.0356,-0.0441,-0.0771,-0.0147,imbalanced
505.959,-0.9363,-0.1976,0.1975,0.1159,0.0376,0.0985,imbalanced
510.959,-1.1633,-0.4180,-0.0400,-0.1198,-0.3086,-0.2438,imbalanced
515.959,-1.1475,-0.3958,-0.1013,-0.1782,0.0886,0.1510,imbalanced
520.959,-0.9919,-0.2365,0.0381,-0.0382,-0.0261,0.0357,imbalanced
525.959,-0.7815,-0.0256,0.4756,0.3930,-0.1284,-0.0656,imbalanced
530.959,-1.0120,-0.2521,0.0757,-0.0068,-0.0457,0.0169,imbalanced
535.959,-1.0491,-0.2847,0.0608,-0.0213,-0.2319,-0.1667,imbalanced
540.959,-0.9597,-0.1922,0.1987,0.1148,0.0144,0.0784,imbalanced
545.959,-0.8745,-0.1054,0.3386,0.2507,-0.1406,-0.0754,imbalanced
550.959,-1.1448,-0.3697,-0.1023,-0.1872,-0.4216,-0.3508,imbalanced
555.959,-1.0103,-0.2315,0.1052,0.0200,-0.0708,-0.0000,imbalanced
560.959,-0.8979,-0.1173,0.3191,0.2302,-0.1235,-0.0519,imbalanced
565.959,-1.0049,-0.2207,-0.0442,-0.1310,-0.2163,-0.1424,imbalanced
570.959,-1.1035,-0.3144,0.0635,-0.0230,0.0500,0.1220,imbalanced
575.959,-0.8550,-0.0648,0.2627,0.1735,-0.6226,-0.5420,imbalanced
580.959,-0.9192,-0.1270,0.1907,0.0998,-0.1228,-0.0416,imbalanced
585.959,-0.9883,-0.1930,0.1223,0.0310,0.0229,0.1026,imbalanced
590.959,-1.0588,-0.2594,0.0796,-0.0116,-0.1543,-0.0735,imbalanced
595.959,-1.0005,-0.1979,0.1455,0.0535,-0.0122,0.0675,imbalanced
600.959,-0.9163,-0.1119,0.2231,0.1291,-0.2122,-0.1304,imbalanced
605.959,-1.0420,-0.2339,0.0208,-0.0722,-0.2375,-0.1533,imbalanced
610.959,-0.9363,-0.1262,0.2021,0.1075,0.2568,0.3357,imbalanced
615.959,-0.8394,-0.0288,0.2512,0.1541,-0.2527,-0.1711,imbalanced
620.959,-0.8765,-0.0649,0.1992,0.1005,-0.0803,0.0013,imbalanced
625.959,-1.1970,-0.3794,-0.0862,-0.1820,0.0017,0.0820,imbalanced
630.959,-1.0193,-0.1985,0.1404,0.0439,-0.1753,-0.0935,imbalanced
635.959,-0.9121,-0.0899,0.2332,0.1345,0.1853,0.2629,imbalanced
640.959,-1.0642,-0.2382,0.0327,-0.0649,-0.1489,-0.0702,imbalanced
645.959,-1.0771,-0.2472,0.0085,-0.0877,-0.2070,-0.1263,imbalanced
650.959,-0.8767,-0.0460,0.3181,0.2184,0.1421,0.2193,imbalanced
655.959,-0.9253,-0.0931,0.1492,0.0487,-0.2590,-0.1790,imbalanced
660.959,-1.0869,-0.2507,-0.0544,-0.1525,0.0847,0.1622,imbalanced
665.959,-0.8826,-0.0456,0.2778,0.1770,-0.0723,0.0051,imbalanced
670.959,-0.8196,0.0171,0.3625,0.2576,-0.3728,-0.2908,imbalanced
675.959,-1.0837,-0.2432,0.0037,-0.0997,0.3689,0.4439,imbalanced
680.959,-1.0908,-0.2463,0.0046,-0.0972,0.0637,0.1365,imbalanced
685.959,-0.9597,-0.1134,0.1592,0.0565,-0.0120,0.0599,imbalanced
690.959,-1.0007,-0.1520,0.1296,0.0265,-0.0852,-0.0132,imbalanced
695.959,-1.1252,-0.2722,-0.1067,-0.2065,-0.4541,-0.3761,imbalanced
700.959,-1.0491,-0.1929,0.0835,-0.0161,0.0278,0.1042,imbalanced
705.959,-0.8198,0.0357,0.2485,0.1466,-0.1333,-0.0560,imbalanced
710.959,-1.0454,-0.1869,0.0317,-0.0691,-0.2419,-0.1621,imbalanced
715.959,-1.0630,-0.2012,0.0388,-0.0610,-0.0417,0.0375,imbalanced
720.959,-0.9897,-0.1260,-0.0745,-0.1716,-0.2729,-0.1907,imbalanced
725.959,-0.8816,-0.0176,0.1401,0.0423,-0.0220,0.0594,imbalanced
730.959,-1.0139,-0.1475,0.0933,-0.0045,0.2070,0.2838,imbalanced
735.959,-0.9846,-0.1164,0.0337,-0.0630,-0.2500,-0.1705,imbalanced
740.959,-0.9387,-0.0694,0.2144,0.1158,-0.0950,-0.0152,imbalanced
745.959,-0.7900,0.0781,0.3799,0.2769,-0.3264,-0.2428,imbalanced
750.959,-1.0803,-0.2089,0.0261,-0.0756,-0.2292,-0.1433,imbalanced
755.959,-1.0222,-0.1484,0.1040,0.0022,-0.0654,0.0202,imbalanced
760.959,-0.9021,-0.0278,0.2976,0.1927,-0.2104,-0.1229,imbalanced
765.959,-1.0930,-0.2153,-0.0361,-0.1388,-0.0542,0.0329,imbalanced
770.959,-1.3442,-0.4592,-0.2344,-0.3317,0.4170,0.4961,imbalanced
775.959,-0.8953,-0.0101,0.1257,0.0279,-0.4749,-0.3895,imbalanced
780.959,-0.9839,-0.0972,0.2090,0.1094,0.1365,0.2183,imbalanced
785.959,-1.0205,-0.1317,0.0305,-0.0680,-0.1692,-0.0860,imbalanced
790.959,-0.9941,-0.1037,0.1448,0.0456,-0.1621,-0.0776,imbalanced
795.959,-0.8855,0.0049,0.3140,0.2114,0.0403,0.1228,imbalanced
800.959,-1.0044,-0.1122,0.1357,0.0326,-0.1692,-0.0853,imbalanced
805.959,-1.1938,-0.2969,0.0215,-0.0803,-0.2095,-0.1236,imbalanced
810.959,-0.9226,-0.0253,0.2100,0.1064,0.0696,0.1530,imbalanced
815.959,-0.9363,-0.0383,0.1094,0.0058,-0.0879,-0.0044,imbalanced
820.959,-1.0276,-0.1276,0.0554,-0.0474,0.7002,0.7714,imbalanced
825.959,-0.9758,-0.0747,0.0164,-0.0851,-0.3320,-0.2568,imbalanced
