timestamp_ms,raw_x,accX,raw_y,accY,raw_z,accZ,label
80.960,-0.9832,-0.9523,0.1292,0.1252,-0.1643,-0.1617,obstruction
85.960,-0.9802,-0.9345,0.0945,0.0891,-0.0867,-0.0827,obstruction
90.960,-1.0012,-0.9405,0.1162,0.1091,0.0061,0.0099,obstruction
95.960,-0.9827,-0.9075,0.1316,0.1226,-0.1958,-0.1890,obstruction
100.960,-0.9966,-0.9069,0.1245,0.1137,-0.0027,0.0041,obstruction
105.960,-0.9763,-0.8727,0.1235,0.1109,-0.1165,-0.1080,obstruction
110.960,-0.9944,-0.8768,0.1038,0.0897,-0.1404,-0.1298,obstruction
115.960,-0.9976,-0.8662,0.1108,0.0953,0.0046,0.0150,obstruction
120.960,-0.9856,-0.8408,0.1387,0.1212,-0.1965,-0.1833,obstruction
125.960,-0.9954,-0.8372,0.1260,0.1068,-0.0144,-0.0011,obstruction
130.960,-0.9758,-0.8048,0.1206,0.0998,-0.0952,-0.0807,obstruction
135.960,-0.9873,-0.8035,0.1211,0.0987,-0.1580,-0.1412,obstruction
140.960,-0.9883,-0.7918,0.1045,0.0808,0.0051,0.0216,obstruction
145.960,-0.9785,-0.7698,0.1331,0.1077,-0.1611,-0.1424,obstruction
150.960,-0.9907,-0.7697,0.1304,0.1033,-0.0378,-0.0188,obstruction
155.960,-0.9822,-0.7492,0.1125,0.0842,-0.0554,-0.0358,obstruction
160.960,-0.9673,-0.7228,0.1143,0.0845,-0.1726,-0.1506,obstruction
165.960,-1.0027,-0.7463,0.1077,0.0767,-0.0076,0.0142,obstruction
170.960,-0.9717,-0.7041,0.1255,0.0931,-0.1338,-0.1103,obstruction
175.960,-0.9854,-0.7065,0.1301,0.0962,-0.0884,-0.0638,obstruction
180.960,-0.9951,-0.7050,0.1211,0.0858,-0.0291,-0.0044,obstruction
185.960,-0.9695,-0.6687,0.1125,0.0760,-0.1543,-0.1276,obstruction
190.960,-0.9980,-0.6863,0.1162,0.0784,-0.0256,0.0010,obstruction
195.960,-0.9844,-0.6621,0.1199,0.0808,-0.1050,-0.0771,obstruction
200.960,-0.9802,-0.6476,0.1287,0.0882,-0.1284,-0.0990,obstruction
205.960,-0.9966,-0.6535,0.1194,0.0777,-0.0132,0.0160,obstruction
210.960,-0.9746,-0.6216,0.1160,0.0731,-0.1416,-0.1106,obstruction
215.960,-0.9812,-0.6184,0.1077,0.0638,-0.0696,-0.0380,obstruction
220.960,-0.9995,-0.6267,0.1365,0.0911,-0.0588,-0.0268,obstruction
