source_file,label,status,n_bins,freq_min,freq_max,warnings
fft_windows\healthy\healthy_000_segment_000_window_000_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_001_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_002_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_003_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_004_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_005_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_006_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_007_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_008_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_009_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_010_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_011_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_012_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_013_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_014_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_015_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_016_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_017_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_018_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_019_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_020_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_021_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_022_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_023_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_024_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_025_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_026_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_027_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_028_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_029_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_030_fft.csv,healthy,OK,129,0.0,100.0,
fft_windows\healthy\healthy_000_segment_000_window_031_fft.csv,healthy,OK,129,0.0,100.0,
