source_fft_file,label,status,n_bins,freq_min,freq_max,warnings,source_window_file
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_000_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_000.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_001_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_001.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_002_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_002.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_003_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_003.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_004_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_004.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_005_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_005.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_006_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_006.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_007_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_007.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_008_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_008.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_009_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_009.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_010_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_010.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_011_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_011.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_012_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_012.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_013_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_013.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_014_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_014.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_015_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_015.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_016_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_016.csv
real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_017_fft.csv,healthy,OK,257,0.0,250.0,,real_windows\healthy\arduino_serial_data_healthy_segment_000_window_017.csv
