RMS_X,RMS_Y,RMS_Z,Band_Power_Z_Low,Band_Power_Z_Mid,Band_Power_Z_High,label
0.012551317,0.392522381,0.075437623,3.53E-07,1.80E-06,0.00090882,healthy
0.011866776,0.051545967,0.070347091,2.78E-07,8.35E-07,0.000807913,healthy
0.011631671,0.012678007,0.06760761,1.16E-06,2.26E-06,0.000724389,healthy
0.01158587,0.010948871,0.065643436,2.97E-07,8.12E-07,0.000701841,healthy
0.011316342,0.010848112,0.063574221,1.77E-07,8.97E-07,0.000653535,healthy
0.011186707,0.010856261,0.06315851,2.74E-07,7.55E-07,0.000636437,healthy
0.011458625,0.01072776,0.06250894,2.63E-07,6.92E-07,0.000628924,healthy
0.011552225,0.011136518,0.062152674,8.18E-07,2.75E-06,0.000560073,healthy
0.01176078,0.011126029,0.062856779,3.71E-07,5.36E-07,0.000645035,healthy
0.011868821,0.0114026,0.066846461,4.08E-07,8.59E-07,0.000730669,healthy
0.012056946,0.011295617,0.068086383,2.47E-07,1.03E-06,0.000789031,healthy
0.012080076,0.011279034,0.069928003,3.68E-07,1.26E-06,0.000811824,healthy
0.012209016,0.011299496,0.072272381,1.02E-06,3.16E-06,0.000835574,healthy
0.012228545,0.011321745,0.07193557,3.21E-07,6.90E-07,0.000853718,healthy
0.012056219,0.011368191,0.072542951,3.12E-07,9.99E-07,0.000858015,healthy
0.011868206,0.011202527,0.071357822,3.83E-07,1.00E-06,0.000823592,healthy
0.01210702,0.011117824,0.07026908,4.56E-07,6.22E-07,0.000805252,healthy
0.012077237,0.011021338,0.070443638,4.17E-07,9.21E-07,0.000800941,healthy
0.011718674,0.011233368,0.069365253,3.78E-07,1.80E-06,0.000749756,healthy
0.011690336,0.011319955,0.06844747,3.00E-07,7.33E-07,0.000733274,healthy
0.011860284,0.011108379,0.067147279,2.88E-07,1.11E-06,0.000730557,healthy
0.01151442,0.011298348,0.066846981,2.13E-07,5.09E-07,0.000716836,healthy
0.01150451,0.011246434,0.06700173,4.32E-07,1.24E-06,0.000735979,healthy
0.011383004,0.011006314,0.067408538,6.54E-07,3.15E-06,0.000715042,healthy
0.01152699,0.011159288,0.065613431,2.88E-07,1.12E-06,0.000695697,healthy
0.011592628,0.011409919,0.065287681,2.76E-07,8.98E-07,0.000697105,healthy
0.011823534,0.011424999,0.065666522,3.53E-07,1.13E-06,0.000694285,healthy
0.011811649,0.011357288,0.066551021,3.35E-07,7.83E-07,0.000702245,healthy
0.011608056,0.011326076,0.067593923,1.45E-06,5.44E-06,0.000693856,healthy
0.0115609,0.011314786,0.067502175,3.12E-07,1.19E-06,0.000739058,healthy
0.011894694,0.011296235,0.067104064,3.73E-07,7.97E-07,0.000693937,healthy
0.011895734,0.011306112,0.068801868,3.62E-07,1.02E-06,0.000777015,healthy
0.011900928,0.01126861,0.06882803,4.33E-07,8.81E-07,0.000793028,healthy
0.011506833,0.010871586,0.066297012,3.85E-07,9.76E-07,0.000707466,healthy
0.011474698,0.011056924,0.065239411,2.98E-07,1.07E-06,0.000689313,healthy
0.011637954,0.011170236,0.066545474,3.67E-07,7.55E-07,0.000711293,healthy
0.01171924,0.011177298,0.06618845,4.82E-07,1.88E-06,0.000695876,healthy
0.011912152,0.011220401,0.06573767,3.53E-07,1.14E-06,0.00068807,healthy
0.011566643,0.01137549,0.066067783,2.01E-07,9.27E-07,0.000685592,healthy
0.011516591,0.01127766,0.065692327,5.58E-07,4.43E-07,0.000670352,healthy
0.011766406,0.011117503,0.065487575,2.89E-07,9.30E-07,0.000690532,healthy
0.01171079,0.011175434,0.065193512,3.63E-07,1.19E-06,0.000674239,healthy
0.011602926,0.011134528,0.063867867,3.85E-07,8.60E-07,0.000644247,healthy
0.011350435,0.011303801,0.064055506,3.84E-07,1.02E-06,0.000622191,healthy
0.011548288,0.011099635,0.063564698,4.14E-07,6.74E-07,0.00064207,healthy
0.011318171,0.011621308,0.064848828,3.35E-07,8.90E-07,0.000654471,healthy
0.011685184,0.011460908,0.064418237,8.41E-07,1.35E-06,0.000632157,healthy
0.011996688,0.011306966,0.066079487,4.28E-07,4.21E-07,0.00070468,healthy
0.011868706,0.011369545,0.067823372,3.42E-07,9.54E-07,0.0007293,healthy
0.011979488,0.011638959,0.068554159,3.08E-07,8.13E-07,0.00073275,healthy
0.012006421,0.0114587,0.068489374,4.19E-07,7.58E-07,0.000755318,healthy
0.011939836,0.011372337,0.069696736,3.72E-07,6.52E-07,0.000808151,healthy
0.01172572,0.011212797,0.069059327,2.50E-07,1.11E-06,0.000778292,healthy
0.011895028,0.011101085,0.067885429,3.99E-07,1.10E-06,0.000737531,healthy
0.011718787,0.011137093,0.068318052,4.74E-07,8.09E-07,0.000766738,healthy
0.011775112,0.011320676,0.069122279,2.46E-07,8.08E-07,0.000769384,healthy
0.011951175,0.011346362,0.069833648,2.88E-07,1.11E-06,0.000792389,healthy
0.012119034,0.011582608,0.071943059,4.63E-07,1.32E-06,0.000838437,healthy
0.012027161,0.011647086,0.074557528,2.85E-07,9.93E-07,0.000898111,healthy
0.012288195,0.011635801,0.075411695,5.90E-07,1.89E-06,0.000944871,healthy
0.012109047,0.011716219,0.074715577,3.56E-07,1.28E-06,0.000924024,healthy
0.012228872,0.011745001,0.074491016,4.37E-07,8.30E-07,0.000908574,healthy
0.012592415,0.011840719,0.077173147,2.45E-07,2.74E-06,0.000998427,healthy
0.012718921,0.01197194,0.080204125,2.46E-07,2.65E-06,0.001127143,healthy
0.012566983,0.011876756,0.082151221,3.23E-07,2.50E-06,0.001146904,healthy
0.012670859,0.012100157,0.0852094,4.90E-07,2.30E-06,0.00125495,healthy
0.012667534,0.012125293,0.086489152,4.08E-07,2.33E-06,0.001285462,healthy
0.013085721,0.011752563,0.086672251,3.13E-07,2.93E-06,0.001297283,healthy
0.013281643,0.011904683,0.08820953,5.60E-07,1.96E-06,0.001371671,healthy
0.013177983,0.011953232,0.088553306,4.19E-07,2.87E-06,0.001371074,healthy
0.013101884,0.011688245,0.088374183,3.52E-07,2.92E-06,0.001362718,healthy
0.013263722,0.011935397,0.089457061,4.39E-07,2.25E-06,0.001402684,healthy
0.013415178,0.011959981,0.08976663,3.80E-07,2.71E-06,0.001408087,healthy
0.013313137,0.011710676,0.089150617,2.15E-07,2.26E-06,0.001399428,healthy
0.013044931,0.011725416,0.086880748,3.54E-07,2.43E-06,0.001302815,healthy
0.013044743,0.011782128,0.086240675,4.83E-07,2.75E-06,0.001293089,healthy
0.013202524,0.011966292,0.085611767,4.66E-07,2.57E-06,0.00130427,healthy
0.013130164,0.011926999,0.085927946,5.90E-07,2.52E-06,0.001310243,healthy
0.012709586,0.012029174,0.085616997,4.34E-07,2.34E-06,0.001278829,healthy
0.013061477,0.011651211,0.085239412,3.67E-07,2.68E-06,0.001264005,healthy
0.012997437,0.011647281,0.085068323,4.02E-07,3.21E-06,0.001278598,healthy
0.012957635,0.011797277,0.086051532,3.45E-07,2.78E-06,0.001277219,healthy
0.012880546,0.011573483,0.085829506,4.32E-07,2.22E-06,0.00126278,healthy
0.013136374,0.01165448,0.085120739,4.42E-07,2.09E-06,0.001229156,healthy
0.012956695,0.011664316,0.083012968,5.07E-07,2.75E-06,0.00116826,healthy
0.012827816,0.011671211,0.080547992,5.75E-07,3.10E-06,0.001100511,healthy
0.012829432,0.011473694,0.077899542,5.23E-07,2.48E-06,0.001019525,healthy
0.012071007,0.011063958,0.073879331,5.11E-07,1.65E-06,0.000919435,healthy
0.011935575,0.010899951,0.069952118,3.94E-07,1.18E-06,0.000813235,healthy
0.011547094,0.010634303,0.066911579,3.17E-07,1.10E-06,0.0007169,healthy
0.011354086,0.010444304,0.062328325,3.64E-07,7.73E-07,0.000610056,healthy
0.011251361,0.010335828,0.057330638,3.05E-07,7.05E-07,0.000515165,healthy
0.010491489,0.010317338,0.055286426,3.62E-07,6.89E-07,0.000102725,healthy
0.011067127,0.009819472,0.049745597,4.19E-07,2.14E-06,3.08E-05,healthy
0.010470964,0.009872443,0.05263497,5.08E-07,1.08E-06,2.13E-05,healthy
0.010823155,0.01062576,0.055420705,2.82E-07,9.87E-07,2.36E-05,healthy
0.011119161,0.010497823,0.056517946,4.55E-07,5.58E-07,2.11E-05,healthy
0.011337676,0.011016812,0.056798509,4.86E-07,7.51E-07,2.33E-05,healthy
0.011045128,0.010860357,0.059524089,3.47E-07,9.15E-07,0.00013272,healthy
0.011158422,0.010983064,0.060675235,4.76E-07,7.84E-07,0.00047741,healthy
0.011441151,0.011111897,0.061680107,3.69E-07,4.56E-07,0.000585162,healthy
0.011457225,0.011143789,0.060609857,3.37E-07,5.26E-07,0.000595673,healthy
