source_window,label,fft_file,num_samples,expected_window_size,expected_fs,num_fft_bins,expected_fft_bins,freq_resolution_hz,expected_freq_resolution_hz,max_frequency_hz,nyquist_frequency_hz,dc_removed,window_function,fft_type,signal_type,status,reason
D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_000.csv,healthy,D:\T_P\Edge-AI DC Fan Conditions Classification\real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_000_fft.csv,512,512,500,257,257,0.9765625,0.9765625,250.0,250.0,True,hann,rfft,accZ,OK,valid
D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_001.csv,healthy,D:\T_P\Edge-AI DC Fan Conditions Classification\real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_001_fft.csv,512,512,500,257,257,0.9765625,0.9765625,250.0,250.0,True,hann,rfft,accZ,OK,valid
D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_002.csv,healthy,D:\T_P\Edge-AI DC Fan Conditions Classification\real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_002_fft.csv,512,512,500,257,257,0.9765625,0.9765625,250.0,250.0,True,hann,rfft,accZ,OK,valid
D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_003.csv,healthy,D:\T_P\Edge-AI DC Fan Conditions Classification\real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_003_fft.csv,512,512,500,257,257,0.9765625,0.9765625,250.0,250.0,True,hann,rfft,accZ,OK,valid
D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_004.csv,healthy,D:\T_P\Edge-AI DC Fan Conditions Classification\real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_004_fft.csv,512,512,500,257,257,0.9765625,0.9765625,250.0,250.0,True,hann,rfft,accZ,OK,valid
D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_005.csv,healthy,D:\T_P\Edge-AI DC Fan Conditions Classification\real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_005_fft.csv,512,512,500,257,257,0.9765625,0.9765625,250.0,250.0,True,hann,rfft,accZ,OK,valid
D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_006.csv,healthy,D:\T_P\Edge-AI DC Fan Conditions Classification\real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_006_fft.csv,512,512,500,257,257,0.9765625,0.9765625,250.0,250.0,True,hann,rfft,accZ,OK,valid
D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_007.csv,healthy,D:\T_P\Edge-AI DC Fan Conditions Classification\real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_007_fft.csv,512,512,500,257,257,0.9765625,0.9765625,250.0,250.0,True,hann,rfft,accZ,OK,valid
D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_008.csv,healthy,D:\T_P\Edge-AI DC Fan Conditions Classification\real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_008_fft.csv,512,512,500,257,257,0.9765625,0.9765625,250.0,250.0,True,hann,rfft,accZ,OK,valid
D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_009.csv,healthy,D:\T_P\Edge-AI DC Fan Conditions Classification\real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_009_fft.csv,512,512,500,257,257,0.9765625,0.9765625,250.0,250.0,True,hann,rfft,accZ,OK,valid
D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_010.csv,healthy,D:\T_P\Edge-AI DC Fan Conditions Classification\real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_010_fft.csv,512,512,500,257,257,0.9765625,0.9765625,250.0,250.0,True,hann,rfft,accZ,OK,valid
D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_011.csv,healthy,D:\T_P\Edge-AI DC Fan Conditions Classification\real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_011_fft.csv,512,512,500,257,257,0.9765625,0.9765625,250.0,250.0,True,hann,rfft,accZ,OK,valid
D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_012.csv,healthy,D:\T_P\Edge-AI DC Fan Conditions Classification\real_fft_windows\healthy\arduino_serial_data_healthy_segment_000_window_012_fft.csv,512,512,500,257,257,0.9765625,0.9765625,250.0,250.0,True,hann,rfft,accZ,OK,valid
