source_file,output_file,label,segment_id,kept_segment_id,start_time_ms,end_time_ms,num_samples,duration_sec,sampling_rate_hz,expected_dt_ms,min_dt_ms,max_dt_ms,label_from_filename,labels_rewritten,min_segment_samples,status,reason
D:\T_P\Edge-AI DC Fan Conditions Classification\real_raw_sensor_stream\accepted\arduino_serial_data_healthy.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,healthy,0,0.0,90.063,378144.063,189028,378.056,500,2.0,1.0,3.0,healthy,False,1000,KEPT,valid
D:\T_P\Edge-AI DC Fan Conditions Classification\real_raw_sensor_stream\accepted\arduino_serial_data_imbalanced.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\imbalanced\arduino_serial_data_imbalanced_segment_000.csv,imbalanced,0,0.0,90.072,351610.071,175761,351.522,500,2.0,1.0,3.0,imbalanced,False,1000,KEPT,valid
D:\T_P\Edge-AI DC Fan Conditions Classification\real_raw_sensor_stream\accepted\arduino_serial_data_obstruction.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\obstruction\arduino_serial_data_obstruction_segment_000.csv,obstruction,0,0.0,90.068,32118.067,16015,32.03,500,2.0,1.0,3.0,obstruction,False,1000,KEPT,valid
D:\T_P\Edge-AI DC Fan Conditions Classification\real_raw_sensor_stream\accepted\arduino_serial_data_obstruction.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\obstruction\arduino_serial_data_obstruction_segment_001.csv,obstruction,1,1.0,32124.067,116778.067,42328,84.656,500,2.0,1.0,3.0,obstruction,False,1000,KEPT,valid
D:\T_P\Edge-AI DC Fan Conditions Classification\real_raw_sensor_stream\accepted\arduino_serial_data_obstruction.csv,,obstruction,2,,116784.067,116804.067,11,0.022,500,2.0,1.0,3.0,obstruction,False,1000,REJECTED,too_short
D:\T_P\Edge-AI DC Fan Conditions Classification\real_raw_sensor_stream\accepted\arduino_serial_data_obstruction.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\obstruction\arduino_serial_data_obstruction_segment_002.csv,obstruction,3,2.0,116810.067,172652.067,27922,55.844,500,2.0,1.0,3.0,obstruction,False,1000,KEPT,valid
D:\T_P\Edge-AI DC Fan Conditions Classification\real_raw_sensor_stream\accepted\arduino_serial_data_obstruction.csv,,obstruction,4,,172666.067,172684.067,10,0.02,500,2.0,1.0,3.0,obstruction,False,1000,REJECTED,too_short
D:\T_P\Edge-AI DC Fan Conditions Classification\real_raw_sensor_stream\accepted\arduino_serial_data_obstruction.csv,,obstruction,5,,172702.068,172732.067,15,0.03,500,2.0,1.0,3.0,obstruction,False,1000,REJECTED,too_short
D:\T_P\Edge-AI DC Fan Conditions Classification\real_raw_sensor_stream\accepted\arduino_serial_data_obstruction.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\obstruction\arduino_serial_data_obstruction_segment_003.csv,obstruction,6,3.0,172740.067,216828.067,22044,44.088,500,2.0,1.0,3.0,obstruction,False,1000,KEPT,valid
D:\T_P\Edge-AI DC Fan Conditions Classification\real_raw_sensor_stream\accepted\arduino_serial_data_obstruction.csv,,obstruction,7,,216842.067,216882.067,21,0.042,500,2.0,1.0,3.0,obstruction,False,1000,REJECTED,too_short
D:\T_P\Edge-AI DC Fan Conditions Classification\real_raw_sensor_stream\accepted\arduino_serial_data_obstruction.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\obstruction\arduino_serial_data_obstruction_segment_004.csv,obstruction,8,4.0,216888.067,326614.067,54864,109.728,500,2.0,1.0,3.0,obstruction,False,1000,KEPT,valid
