global_window_id,source_segment,output_file,label,local_window_id,start_idx,end_idx_exclusive,end_idx_inclusive,num_samples,start_time_ms,end_time_ms,sampling_rate_hz,window_size,window_duration_sec,overlap_ratio,step_size,step_duration_sec,status,reason
0,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_000.csv,healthy,0,0,512,511,512,90.063,1112.062,500,512,1.024,0.5,320,0.64,KEPT,valid
1,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_001.csv,healthy,1,320,832,831,512,730.062,1752.062,500,512,1.024,0.5,320,0.64,KEPT,valid
2,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_002.csv,healthy,2,640,1152,1151,512,1370.063,2392.063,500,512,1.024,0.5,320,0.64,KEPT,valid
3,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_003.csv,healthy,3,960,1472,1471,512,2010.062,3032.062,500,512,1.024,0.5,320,0.64,KEPT,valid
4,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_004.csv,healthy,4,1280,1792,1791,512,2650.062,3672.062,500,512,1.024,0.5,320,0.64,KEPT,valid
5,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_005.csv,healthy,5,1600,2112,2111,512,3290.062,4312.063,500,512,1.024,0.5,320,0.64,KEPT,valid
6,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_006.csv,healthy,6,1920,2432,2431,512,3930.062,4952.062,500,512,1.024,0.5,320,0.64,KEPT,valid
7,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_007.csv,healthy,7,2240,2752,2751,512,4570.062,5592.063,500,512,1.024,0.5,320,0.64,KEPT,valid
8,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_008.csv,healthy,8,2560,3072,3071,512,5210.062,6232.062,500,512,1.024,0.5,320,0.64,KEPT,valid
9,D:\T_P\Edge-AI DC Fan Conditions Classification\real_segments\healthy\arduino_serial_data_healthy_segment_000.csv,D:\T_P\Edge-AI DC Fan Conditions Classification\real_windows\healthy\arduino_serial_data_healthy_segment_000_window_009.csv,healthy,9,2880,3392,3391,512,5850.062,6872.062,500,512,1.024,0.5,320,0.64,KEPT,valid
